LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-44.8683 	 -3.3386 	 -17.76 	 978005.76
-44.9017 	 -3.2761 	 -18.61 	 978007.39
-44.9428 	 -3.2228 	 -17.9 	 978008.76
-45.0056 	 -3.2017 	 -16.7 	 978009.0
-45.0808 	 -3.105 	 -17.54 	 977993.2
-45.0297 	 -3.0756 	 -1.62 	 977999.0
-45.0267 	 -3.0103 	 -10.29 	 978002.58
-46.1103 	 -1.8197 	 18.49 	 978007.17
-46.0656 	 -1.7736 	 39.96 	 978005.78
-44.3578 	 -3.3928 	 -4.86 	 977984.06
-44.3658 	 -3.3858 	 -9.41 	 977985.52
-44.3953 	 -3.3656 	 -0.86 	 977986.84
-44.4128 	 -3.3519 	 -0.09 	 977988.44
-44.4283 	 -3.3414 	 4.8 	 977988.06
-44.4881 	 -3.3794 	 32.71 	 977977.44
-44.4944 	 -3.3878 	 26.05 	 977978.67
-44.0847 	 -4.0819 	 58.65 	 978001.9
-44.3439 	 -4.5703 	 56.02 	 978003.25
-44.3453 	 -4.5836 	 60.72 	 978003.15
-44.3428 	 -4.6103 	 60.48 	 978005.27
-43.0861 	 -4.9794 	 142.16 	 977992.1
-44.1294 	 -4.1261 	 7.74 	 978010.13
-43.8747 	 -4.6303 	 75.59 	 977999.82
-44.7856 	 -2.4494 	 -9.21 	 977969.11
-44.18 	 -3.4894 	 29.12 	 978001.44
-43.0289 	 -4.2706 	 37.18 	 978004.9
-45.0724 	 -2.5156 	 -12.72 	 977942.73
-44.9392 	 -2.5794 	 -9.34 	 977961.63
-44.9256 	 -2.5569 	 -2.01 	 977960.13
-43.3628 	 -4.8633 	 42.83 	 978014.48
-43.3928 	 -4.7453 	 60.85 	 978013.66
-44.2747 	 -2.4989 	 -9.36 	 977987.43
-44.7411 	 -2.7056 	 -21.5 	 977996.51
-44.7358 	 -2.7278 	 -17.84 	 977998.31
-44.7303 	 -2.7469 	 -19.03 	 978001.07
-44.7272 	 -2.7669 	 -16.8 	 978004.23
-44.7333 	 -2.7853 	 -9.95 	 978004.43
-44.7336 	 -2.8042 	 -6.75 	 978007.15
-44.7294 	 -2.8242 	 -13.34 	 978011.87
-42.7036 	 -3.6878 	 72.29 	 978014.75
-42.7217 	 -3.695 	 63.92 	 978016.74
-44.4456 	 -4.2231 	 28.02 	 978008.1
-44.5769 	 -3.5456 	 20.97 	 977982.26
-44.5683 	 -3.5406 	 13.82 	 977984.27
-44.5553 	 -3.5236 	 24.73 	 977982.27
-44.5347 	 -3.4778 	 26.65 	 977983.61
-44.5303 	 -3.4622 	 19.49 	 977985.37
-44.5233 	 -3.4419 	 1.11 	 977989.54
-44.5144 	 -3.4214 	 23.68 	 977983.58
-44.5072 	 -3.4014 	 19.49 	 977981.8
-44.5128 	 -3.3847 	 28.75 	 977977.06
-44.5228 	 -3.3797 	 11.7 	 977979.47
-44.5322 	 -3.375 	 -2.08 	 977982.09
-44.5436 	 -3.3669 	 -3.9 	 977980.95
-44.5525 	 -3.3486 	 -7.02 	 977979.88
-44.5669 	 -3.3394 	 -9.11 	 977980.17
-44.5828 	 -3.3239 	 -12.52 	 977981.53
-44.5917 	 -3.3072 	 -9.45 	 977982.49
-44.5861 	 -3.2742 	 -11.46 	 977985.74
-44.5878 	 -3.2647 	 -4.01 	 977985.35
-44.6075 	 -3.26 	 -15.6 	 977990.81
-44.6178 	 -3.2636 	 -16.58 	 977991.36
-44.6178 	 -3.2653 	 -17.76 	 977991.47
-44.62 	 -3.2642 	 -17.67 	 977991.82
-44.9603 	 -3.5758 	 17.33 	 977993.51
-44.8183 	 -2.8811 	 -8.25 	 978013.27
-44.8297 	 -2.8864 	 -6.31 	 978014.17
-44.8503 	 -2.8694 	 -15.06 	 978016.53
-43.4986 	 -4.9472 	 85.83 	 978011.25
-43.5231 	 -4.9492 	 78.57 	 978014.48
-43.6033 	 -4.9739 	 117.47 	 978010.9
