LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-62.0261 	 -1.2989 	 6.45 	 978033.21
-62.09 	 -1.2869 	 5.17 	 978031.2
-62.1539 	 -1.2525 	 5.48 	 978028.19
-62.1183 	 -1.1811 	 5.68 	 978030.21
-60.6689 	 -7.5231 	 43.78 	 978086.73
-62.5897 	 -1.1233 	 7.22 	 978004.52
-62.4508 	 -1.1511 	 6.55 	 978006.88
-66.83 	 -9.7858 	 171.15 	 978156.65
-64.5006 	 -0.3836 	 22.93 	 978033.07
-64.455 	 -0.3625 	 22.57 	 978031.52
-64.4033 	 -0.3519 	 22.23 	 978030.85
-64.3489 	 -0.3392 	 21.58 	 978031.81
-64.2986 	 -0.3397 	 21.97 	 978032.53
-64.2408 	 -0.3467 	 20.86 	 978035.74
-64.18 	 -0.3231 	 20.69 	 978040.67
-64.7081 	 -0.4561 	 25.0 	 978030.75
-64.6436 	 -0.4392 	 24.3 	 978031.89
-63.0136 	 -7.4867 	 54.21 	 978131.19
-62.8611 	 -7.5594 	 56.36 	 978136.7
-62.7944 	 -7.57 	 74.68 	 978131.62
-63.8039 	 -0.2908 	 18.04 	 978036.15
-63.7553 	 -0.2722 	 17.5 	 978036.33
-63.7081 	 -0.2878 	 17.9 	 978036.59
-63.6592 	 -0.3222 	 17.82 	 978035.92
-63.6114 	 -0.3514 	 17.36 	 978036.15
-63.8294 	 -0.3553 	 18.4 	 978037.28
-63.7728 	 -0.3517 	 17.9 	 978036.65
-63.7236 	 -0.3703 	 17.79 	 978036.08
-63.6197 	 -0.4086 	 17.2 	 978034.67
-63.5394 	 -0.4081 	 16.44 	 978033.07
-63.5108 	 -0.4642 	 15.5 	 978028.19
-63.4244 	 -0.5194 	 14.3 	 978022.71
-63.3764 	 -0.5589 	 14.1 	 978018.63
-63.3086 	 -0.5539 	 14.06 	 978015.12
-63.2986 	 -0.6286 	 13.46 	 978009.6
-63.1883 	 -0.6694 	 12.12 	 978005.01
-63.1428 	 -0.6989 	 11.74 	 978003.98
-63.0814 	 -0.7744 	 10.67 	 978005.08
-63.2778 	 -0.4783 	 12.2 	 978018.3
-63.2422 	 -0.5103 	 12.15 	 978017.13
-63.1583 	 -0.5503 	 11.42 	 978015.33
-63.1058 	 -0.5792 	 10.94 	 978012.75
-63.4031 	 -0.5831 	 13.99 	 978018.94
-59.8939 	 -7.2025 	 134.39 	 978054.51
-59.8844 	 -7.2031 	 147.78 	 978051.5
-59.0414 	 -6.7931 	 36.01 	 978089.58
-62.3889 	 -7.7908 	 73.54 	 978096.09
-61.8347 	 -8.0153 	 96.5 	 978123.62
-62.0689 	 -1.2033 	 5.3 	 978028.75
-62.0239 	 -1.1375 	 4.09 	 978030.11
-62.1469 	 -1.3206 	 4.79 	 978031.14
-62.0342 	 -1.3719 	 4.59 	 978031.61
-61.9358 	 -1.3964 	 3.69 	 978034.22
-62.0028 	 -1.2583 	 4.48 	 978034.93
-61.5833 	 -1.4047 	 2.36 	 978020.52
-61.5822 	 -1.3447 	 1.06 	 978020.05
-61.5378 	 -1.4389 	 3.03 	 978016.7
