LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-51.79624 	 3.828624 	 -2.691 	 978024.96
-51.14037 	 0.1365347 	 -2.164 	 978038.56
-51.32177 	 0.236249 	 -10.299 	 978039.4
-50.912 	 1.540359 	 -9.837 	 978007.55
-50.8971 	 2.072198 	 -10.774 	 978015.15
-51.03331 	 2.483431 	 -13.945 	 978016.03
-51.08588 	 0.3180537 	 5.447 	 978040.0
-51.58773 	 0.1453059 	 -15.244 	 978031.98
-51.37454 	 0.6912548 	 58.334 	 978009.18
-51.42313 	 0.7040196 	 53.936 	 978005.63
-51.60822 	 0.6397434 	 52.253 	 978012.29
-51.05065 	 0.03132001 	 -16.854 	 978046.79
-52.02685 	 0.8556887 	 75.606 	 977970.03
-51.07281 	 0.00507816 	 -18.207 	 978045.51
-51.15151 	 0.5662297 	 37.295 	 978029.38
-52.27115 	 1.025444 	 93.523 	 977970.47
-52.38391 	 1.097043 	 85.406 	 977971.91
-51.29001 	 -0.1148459 	 -11.497 	 978036.51
-51.4346 	 -0.09045219 	 -6.28 	 978037.91
-52.38565 	 -0.7086174 	 109.816 	 977978.42
-52.00234 	 0.9014429 	 123.58 	 977977.4
-50.70443 	 0.5995913 	 -9.87 	 978030.06
-50.80975 	 0.5756525 	 -6.269 	 978023.11
-52.32898 	 -0.5969154 	 75.54 	 977988.01
-52.1211 	 -0.4572253 	 13.697 	 978013.3
-51.90069 	 -0.3376452 	 51.922 	 978002.24
-50.83877 	 0.4007371 	 -14.942 	 978044.27
-50.9429 	 0.5314639 	 -10.362 	 978036.66
-50.92278 	 1.423701 	 2.842 	 978006.11
-51.76787 	 3.53685 	 48.844 	 978025.53
-51.63048 	 3.314728 	 18.522 	 978032.32
-50.8006 	 0.6836984 	 -3.937 	 978026.71
