LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-48.7614 	 -5.3933 	 69.3 	 978011.71
-49.9456 	 -7.1047 	 227.2 	 978020.45
-50.1719 	 -6.9794 	 243.09 	 978025.64
-50.3633 	 -6.8153 	 291.97 	 978007.03
-47.2944 	 -3.54 	 166.92 	 977982.86
-47.5456 	 -4.4433 	 96.81 	 978030.56
-47.5444 	 -4.0569 	 224.84 	 977993.26
-48.1628 	 -1.2986 	 -0.64 	 978025.76
-47.19 	 -1.1242 	 20.09 	 978013.14
-47.2214 	 -0.8133 	 2.46 	 978023.18
-47.3008 	 -0.7106 	 10.29 	 978016.43
-46.8597 	 -1.3156 	 9.35 	 977994.84
-46.8692 	 -1.5569 	 48.95 	 978013.73
-47.2506 	 -1.0728 	 18.58 	 978023.86
-47.0231 	 -0.8128 	 -23.38 	 978031.55
-47.0753 	 -0.9736 	 11.23 	 978023.92
-47.3281 	 -1.795 	 4.81 	 978039.82
-48.145 	 -0.8556 	 -19.42 	 978013.34
-48.0733 	 -0.7931 	 -16.91 	 978018.78
-47.7014 	 -1.2967 	 29.35 	 978016.84
-47.6617 	 -1.1939 	 17.13 	 978023.83
-47.7961 	 -1.1536 	 23.5 	 978013.37
-47.9281 	 -1.2356 	 18.97 	 978001.83
-47.93 	 -1.0778 	 16.42 	 978011.82
-47.8617 	 -0.7289 	 -13.36 	 978029.05
-47.7964 	 -0.7703 	 -17.05 	 978034.45
-47.6464 	 -0.6244 	 -21.19 	 978018.56
-47.49 	 -0.9439 	 12.37 	 978015.37
-47.5947 	 -1.0133 	 13.46 	 978016.8
-55.625 	 -6.1136 	 290.06 	 977982.54
-55.8133 	 -5.5958 	 123.67 	 978017.6
-55.5192 	 -6.5764 	 218.46 	 977990.2
-55.4694 	 -6.8136 	 206.35 	 978010.85
-54.5064 	 -2.7189 	 132.92 	 978014.0
-54.5953 	 -2.6344 	 112.79 	 978015.61
-54.7461 	 -2.4403 	 -4.2 	 978041.79
-53.5639 	 -3.675 	 65.62 	 977965.13
-53.3261 	 -3.6158 	 95.3 	 977961.97
-53.1061 	 -3.4983 	 196.94 	 977935.96
-50.1197 	 -4.1592 	 96.28 	 978002.11
-49.9522 	 -4.3108 	 59.43 	 978015.97
-49.8469 	 -4.5136 	 74.73 	 978023.27
-49.6931 	 -4.6847 	 95.22 	 978022.98
-49.5378 	 -5.4589 	 128.23 	 978049.88
-49.7592 	 -5.4542 	 161.19 	 978047.62
-50.02 	 -8.2006 	 219.78 	 978031.79
-50.0439 	 -8.4058 	 169.15 	 978064.05
-49.8894 	 -8.5556 	 181.23 	 978057.56
-49.7003 	 -8.4639 	 189.93 	 978035.67
-49.9986 	 -7.5961 	 199.65 	 978044.92
-49.8047 	 -7.5764 	 191.38 	 978019.62
-49.5919 	 -7.6392 	 225.1 	 977998.31
-49.4347 	 -7.6175 	 159.54 	 978013.69
-50.2439 	 -8.6908 	 176.02 	 978077.31
-50.0586 	 -8.7781 	 158.3 	 978064.56
-49.8906 	 -8.87 	 165.28 	 978059.56
-47.6206 	 -4.3125 	 189.83 	 978011.24
-48.4111 	 -2.5072 	 7.31 	 977971.44
-46.4847 	 -1.7931 	 7.24 	 978031.38
-47.6556 	 -1.3258 	 16.08 	 978020.63
-54.9089 	 -4.1 	 123.01 	 977974.38
-55.9053 	 -4.3958 	 29.7 	 978003.1
-55.4442 	 -4.1867 	 51.01 	 977986.31
-56.0428 	 -5.1969 	 84.07 	 978019.59
-50.2789 	 -3.9561 	 70.63 	 978012.33
-50.2622 	 -3.9772 	 72.54 	 978011.41
-50.2261 	 -4.1422 	 94.54 	 978004.71
-55.4625 	 -1.7411 	 50.3 	 977976.82
-55.43 	 -1.69 	 35.2 	 977977.4
-55.3731 	 -1.6497 	 44.43 	 977973.92
-55.2747 	 -1.5764 	 22.44 	 977975.16
-55.2172 	 -1.5397 	 2.85 	 977976.32
-55.5289 	 -1.8692 	 70.31 	 977977.58
-55.5081 	 -1.8675 	 69.32 	 977978.13
-55.5169 	 -1.8736 	 60.88 	 977980.21
-55.5325 	 -1.8525 	 50.52 	 977981.57
-55.6122 	 -1.8164 	 24.55 	 977988.69
-55.6011 	 -1.7942 	 50.36 	 977981.9
-48.4781 	 -1.3028 	 -11.85 	 978019.6
-48.1361 	 -1.2169 	 0.58 	 978028.81
-48.1269 	 -1.0731 	 10.95 	 978018.89
-48.11 	 -1.0036 	 9.77 	 978004.78
-48.0961 	 -0.9356 	 -5.21 	 978008.55
-48.0917 	 -0.87 	 -11.06 	 978010.63
-48.0667 	 -0.8058 	 -8.15 	 978016.47
-48.0233 	 -0.7536 	 -15.78 	 978023.43
-48.0633 	 -0.9497 	 1.71 	 978006.77
-47.985 	 -0.9539 	 -10.23 	 978019.45
-55.0936 	 -8.3158 	 238.42 	 978047.13
-55.5933 	 -1.6492 	 40.6 	 977983.09
-55.6342 	 -1.6108 	 84.89 	 977973.13
-55.6461 	 -1.8411 	 -7.39 	 977996.89
-49.0836 	 -3.8825 	 102.52 	 977957.71
-49.0622 	 -4.04 	 93.51 	 977949.92
-49.06 	 -4.2558 	 71.44 	 977952.28
-49.0964 	 -4.3367 	 66.57 	 977960.65
-48.3583 	 -2.7097 	 19.87 	 977980.99
-49.0694 	 -4.2792 	 61.68 	 977956.75
-49.1794 	 -3.7958 	 72.06 	 977967.18
-49.4183 	 -3.7725 	 43.96 	 978001.12
-49.4842 	 -3.7586 	 56.9 	 978002.09
-49.5464 	 -3.7486 	 60.28 	 978000.73
-48.8119 	 -2.2075 	 -11.36 	 977994.48
-48.79 	 -2.2647 	 -10.41 	 977988.92
-48.7697 	 -2.3267 	 -4.04 	 977982.36
-48.7508 	 -2.3889 	 -5.31 	 977979.39
-48.9536 	 -3.1456 	 27.67 	 978052.41
-48.9394 	 -3.4208 	 42.69 	 978010.73
-49.0036 	 -3.5411 	 48.57 	 978015.26
-53.7347 	 -3.7167 	 124.73 	 977963.21
-55.9592 	 -4.3761 	 71.78 	 977991.93
-55.8622 	 -4.375 	 51.03 	 977994.13
-50.3244 	 -9.3214 	 172.66 	 978096.78
-48.5922 	 -1.4928 	 -18.31 	 978018.46
-48.5583 	 -1.6042 	 -9.45 	 978018.77
-48.7711 	 -1.9247 	 -7.75 	 978060.71
-55.7625 	 -4.3314 	 58.47 	 977988.19
-55.6372 	 -4.2453 	 61.91 	 977983.23
-55.5047 	 -4.1986 	 51.01 	 977990.05
-55.2628 	 -7.515 	 210.17 	 978024.75
-55.2464 	 -7.5664 	 206.5 	 978024.35
-55.2389 	 -7.5925 	 237.89 	 978015.33
-55.1978 	 -7.7733 	 225.89 	 978024.85
-55.1514 	 -8.0308 	 296.12 	 978025.76
-55.1247 	 -8.1881 	 235.09 	 978050.38
-48.7172 	 -1.5619 	 -11.23 	 978029.68
-48.6708 	 -1.6372 	 -5.73 	 978032.15
-48.7636 	 -1.7608 	 -6.35 	 978055.33
-48.6744 	 -1.7019 	 -0.97 	 978038.55
-48.4931 	 -2.5 	 7.59 	 977972.77
-48.6392 	 -2.4219 	 1.39 	 977973.19
-48.5856 	 -2.4431 	 -0.22 	 977973.04
-48.2939 	 -1.9464 	 6.86 	 978028.09
-48.5692 	 -1.9722 	 5.39 	 978044.94
-48.6217 	 -1.9961 	 -2.49 	 978052.1
-48.7286 	 -2.0878 	 -18.57 	 978017.69
-48.1464 	 -2.3753 	 0.17 	 977995.43
-48.1058 	 -2.3208 	 2.86 	 977996.11
-47.4456 	 -2.9442 	 104.71 	 977983.69
-47.4381 	 -2.8706 	 47.59 	 978000.38
-47.4508 	 -2.7958 	 67.87 	 977994.53
-47.4803 	 -2.7217 	 57.24 	 977993.25
-47.4775 	 -2.6478 	 72.83 	 977989.91
-47.4906 	 -2.575 	 33.83 	 977998.59
-47.5031 	 -2.5264 	 33.41 	 977999.66
-47.5094 	 -2.4553 	 41.15 	 978000.86
-47.5544 	 -2.3669 	 39.19 	 978002.7
-47.5642 	 -2.2881 	 2.04 	 978013.3
-47.5628 	 -2.2608 	 22.47 	 978009.43
-47.5606 	 -2.1783 	 13.05 	 978013.59
-47.56 	 -2.1025 	 31.56 	 978007.71
-47.4097 	 -2.9889 	 94.99 	 977982.44
-47.46 	 -3.0039 	 88.45 	 977986.34
-47.4753 	 -3.07 	 116.53 	 977978.76
-47.4903 	 -3.1339 	 90.27 	 977985.82
-47.4947 	 -3.2028 	 95.6 	 977991.2
-47.4711 	 -3.2653 	 95.49 	 977995.41
-47.4592 	 -3.3278 	 165.51 	 977980.45
-47.4444 	 -3.3964 	 102.07 	 977994.42
-47.4794 	 -3.4575 	 83.31 	 978000.55
-47.4869 	 -3.5292 	 86.69 	 977999.59
-47.4903 	 -3.5878 	 153.31 	 977984.21
-47.4883 	 -3.6536 	 156.94 	 977987.48
-47.4894 	 -3.7175 	 88.04 	 978008.35
-47.5947 	 -2.9736 	 46.43 	 977992.05
-47.7917 	 -2.9514 	 5.48 	 977992.09
-47.8442 	 -2.9389 	 23.45 	 977985.75
-47.9953 	 -2.9178 	 36.03 	 977993.63
-48.0864 	 -2.8758 	 35.72 	 977990.25
-47.33 	 -3.0514 	 114.52 	 977979.28
-47.3167 	 -3.1086 	 74.3 	 977988.59
-47.3008 	 -3.1806 	 141.04 	 977971.5
-47.2844 	 -3.2392 	 156.06 	 977969.37
-47.5514 	 -4.2942 	 236.53 	 978004.11
-47.5556 	 -4.2989 	 240.83 	 978003.59
-48.1522 	 -2.42 	 -9.7 	 977990.19
-49.0967 	 -3.8431 	 75.97 	 977968.41
-54.9678 	 -8.7611 	 428.79 	 978012.61
-55.0383 	 -8.6364 	 253.95 	 978047.56
-55.3819 	 -7.1419 	 208.95 	 978013.27
-55.3136 	 -7.2808 	 222.5 	 978019.68
-50.8061 	 -6.7247 	 310.01 	 978003.73
-50.8628 	 -6.7614 	 286.16 	 978006.26
-49.8389 	 -7.0306 	 191.79 	 978023.49
-49.7781 	 -7.0008 	 195.97 	 978023.44
-49.7247 	 -6.9664 	 197.98 	 978028.69
-49.5458 	 -6.7575 	 177.46 	 978004.48
-49.4603 	 -6.6275 	 127.51 	 978025.33
-49.4075 	 -6.5383 	 123.64 	 978028.65
-49.4011 	 -6.4606 	 110.23 	 978038.95
-49.4072 	 -6.3875 	 126.02 	 978033.36
-49.3794 	 -6.2422 	 100.25 	 978037.72
-49.3803 	 -6.1675 	 102.81 	 978045.0
-50.0389 	 -7.4139 	 229.78 	 978034.38
-50.0428 	 -7.5422 	 226.78 	 978035.75
-50.0203 	 -7.6303 	 199.61 	 978040.91
-49.5853 	 -6.8744 	 199.7 	 978002.2
-49.5139 	 -6.8817 	 149.97 	 978012.28
-47.7564 	 -2.0272 	 -13.58 	 978015.83
-47.51 	 -1.5567 	 2.14 	 978037.81
-47.4878 	 -1.64 	 -18.49 	 978037.58
-47.2631 	 -1.7758 	 34.63 	 978036.3
-47.1894 	 -1.7639 	 31.73 	 978033.29
-47.1175 	 -1.7483 	 54.74 	 978012.31
-47.0778 	 -1.7614 	 55.3 	 978009.44
-47.0747 	 -1.835 	 31.38 	 978021.93
-47.0392 	 -1.8897 	 52.56 	 978024.27
-47.0525 	 -1.9347 	 21.41 	 978041.07
-47.0639 	 -1.6978 	 51.2 	 978013.43
-47.0606 	 -1.6267 	 50.38 	 978013.37
-47.1122 	 -1.5731 	 19.11 	 978023.53
-48.375 	 -1.3669 	 -5.75 	 978012.73
-48.3286 	 -1.3672 	 -1.34 	 978018.53
-48.2603 	 -1.3578 	 11.38 	 978018.87
-48.2194 	 -1.3111 	 4.83 	 978023.08
-48.2236 	 -1.3444 	 -5.33 	 978023.05
-48.0736 	 -1.4353 	 5.87 	 978006.19
-48.0242 	 -1.4686 	 -17.69 	 978006.75
-48.0942 	 -1.3867 	 5.22 	 978012.06
-48.1619 	 -1.3064 	 4.85 	 978024.2
-48.245 	 -1.3375 	 6.69 	 978016.85
-48.2925 	 -1.2261 	 -14.36 	 978023.33
-48.2669 	 -1.2222 	 -7.47 	 978023.16
-48.24 	 -1.1856 	 -11.79 	 978029.05
-48.2625 	 -1.1328 	 -9.7 	 978023.84
-48.3292 	 -1.1753 	 -20.22 	 978025.74
-48.3789 	 -1.1294 	 -13.73 	 978030.32
-48.4103 	 -1.0944 	 -13.04 	 978031.85
-48.3278 	 -1.0742 	 -19.23 	 978028.1
-48.4525 	 -1.1297 	 -17.7 	 978032.07
-48.3917 	 -1.1192 	 -13.74 	 978032.31
-48.4381 	 -1.3433 	 -15.83 	 978018.13
-47.1567 	 -1.1289 	 20.64 	 978012.35
-47.2075 	 -1.0792 	 28.01 	 978017.3
-47.2742 	 -1.0536 	 17.82 	 978023.91
-47.1875 	 -0.9828 	 1.11 	 978028.96
-47.1406 	 -0.9617 	 -1.43 	 978027.78
-47.0056 	 -0.8506 	 -23.7 	 978027.75
-47.0064 	 -0.8969 	 -22.63 	 978030.15
-47.0522 	 -0.9086 	 -14.95 	 978030.25
-47.0947 	 -0.9328 	 -18.94 	 978031.82
-47.045 	 -0.9906 	 -16.76 	 978028.07
-47.44 	 -1.7683 	 -9.16 	 978035.65
-47.3972 	 -1.7847 	 2.91 	 978036.82
-48.595 	 -6.1936 	 173.5 	 978002.35
-48.5969 	 -6.2661 	 142.63 	 978012.74
-48.5631 	 -6.3931 	 113.88 	 978035.33
-49.4175 	 -6.0981 	 112.95 	 978040.11
-49.4883 	 -6.0689 	 127.26 	 978036.46
-49.5525 	 -6.0567 	 169.17 	 978032.21
