LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-54.2946 	 -16.3692 	 272.37 	 978330.14
-54.3711 	 -16.3782 	 256.74 	 978322.32
-54.2971 	 -16.3019 	 269.87 	 978330.23
-54.3617 	 -16.3054 	 250.24 	 978325.7
-54.3746 	 -16.5494 	 257.34 	 978336.76
-54.4539 	 -16.5385 	 230.04 	 978347.82
-54.4607 	 -16.704 	 303.27 	 978347.47
-54.5409 	 -16.7073 	 356.9 	 978333.63
-54.5458 	 -16.7888 	 295.85 	 978361.86
-54.6247 	 -16.6231 	 405.16 	 978328.65
-56.4898 	 -15.2372 	 208.21 	 978271.72
-55.872 	 -14.5489 	 257.51 	 978240.71
-55.747 	 -15.4588 	 812.07 	 978193.69
-55.1688 	 -15.5481 	 751.01 	 978210.12
-56.1057 	 -15.6147 	 154.03 	 978353.95
-54.6316 	 -16.4715 	 216.85 	 978359.7
-54.5405 	 -16.6293 	 317.95 	 978336.01
-55.2895 	 -15.9587 	 703.37 	 978224.49
-55.3737 	 -15.8743 	 722.32 	 978221.95
-55.3883 	 -15.9543 	 649.64 	 978232.64
-55.4573 	 -16.04 	 190.4 	 978349.23
-55.3682 	 -16.0341 	 223.62 	 978328.69
-55.3687 	 -16.125 	 552.57 	 978286.02
-55.378 	 -16.2093 	 679.51 	 978270.15
-57.0229 	 -16.2041 	 115.87 	 978368.92
-57.0496 	 -16.288 	 115.23 	 978380.2
-56.981 	 -16.1796 	 126.88 	 978363.67
-55.7868 	 -15.6213 	 175.51 	 978342.33
-55.8533 	 -15.6295 	 186.45 	 978341.5
-55.9702 	 -15.8648 	 145.05 	 978369.66
-55.9583 	 -15.7924 	 148.9 	 978364.54
-56.0452 	 -15.7973 	 188.67 	 978363.26
-56.2048 	 -15.8602 	 177.25 	 978375.61
-56.0499 	 -15.9437 	 143.74 	 978379.56
-56.1256 	 -15.9503 	 144.52 	 978386.31
-56.0324 	 -16.0319 	 141.76 	 978384.36
-55.9803 	 -16.0321 	 139.44 	 978382.21
-56.0132 	 -16.0913 	 138.3 	 978388.76
-55.8579 	 -15.7739 	 178.99 	 978354.58
-55.8817 	 -15.8716 	 144.21 	 978368.38
-55.7885 	 -15.7944 	 157.66 	 978355.51
-55.702 	 -15.7904 	 181.24 	 978347.26
-55.7886 	 -15.8623 	 168.73 	 978360.03
-55.7135 	 -15.8775 	 220.15 	 978334.82
-55.5308 	 -15.868 	 639.33 	 978235.84
-55.1331 	 -15.9575 	 573.73 	 978264.05
-55.2091 	 -15.8787 	 744.88 	 978228.48
-55.2086 	 -15.9555 	 659.86 	 978238.3
-55.2087 	 -16.0393 	 624.54 	 978253.62
-56.3801 	 -15.9652 	 173.35 	 978388.65
-56.4848 	 -15.8888 	 255.77 	 978346.85
-56.5441 	 -15.9424 	 158.34 	 978369.5
-56.4519 	 -16.0591 	 153.18 	 978403.02
-56.4538 	 -16.1335 	 131.68 	 978414.5
-56.5529 	 -16.1345 	 152.43 	 978406.73
-56.6917 	 -16.121 	 165.37 	 978387.03
-56.6531 	 -16.5729 	 120.34 	 978442.42
-56.8976 	 -16.6635 	 114.37 	 978453.41
-56.9426 	 -16.6411 	 115.31 	 978454.22
-56.8863 	 -16.5894 	 115.66 	 978450.75
-56.8686 	 -16.533 	 115.97 	 978446.57
-56.8218 	 -16.5706 	 117.11 	 978442.57
-56.7974 	 -16.4311 	 119.56 	 978436.27
-56.8929 	 -16.4254 	 115.81 	 978432.24
-57.0326 	 -16.8567 	 111.7 	 978462.61
-56.9505 	 -16.8134 	 113.3 	 978459.64
-56.7447 	 -16.7195 	 117.17 	 978452.45
-56.7982 	 -16.7566 	 115.57 	 978455.39
-56.7069 	 -15.9524 	 190.25 	 978343.6
-56.731 	 -15.8777 	 203.82 	 978321.02
-56.8154 	 -15.9566 	 190.79 	 978326.38
-56.8909 	 -15.9338 	 188.94 	 978317.64
-56.8637 	 -15.8724 	 321.73 	 978284.9
-56.7962 	 -15.8681 	 399.79 	 978273.57
-56.7028 	 -15.7981 	 381.53 	 978276.17
-56.6254 	 -15.7845 	 331.95 	 978294.68
-56.634 	 -15.7037 	 298.5 	 978284.57
-56.7077 	 -15.7032 	 374.32 	 978262.04
-56.8163 	 -15.6306 	 310.9 	 978268.2
-56.8182 	 -15.7133 	 348.59 	 978268.49
-56.7932 	 -15.775 	 404.82 	 978259.19
-56.876 	 -15.7859 	 293.65 	 978285.47
-57.0494 	 -15.8659 	 154.94 	 978316.46
-57.0496 	 -15.8013 	 190.39 	 978303.46
-57.1174 	 -15.8143 	 373.33 	 978276.58
-57.1176 	 -15.7288 	 622.22 	 978222.37
-57.2154 	 -15.7904 	 588.97 	 978237.72
-57.0394 	 -16.0292 	 132.32 	 978346.04
-57.1091 	 -16.0498 	 137.33 	 978345.88
-57.0978 	 -16.1013 	 135.61 	 978355.75
-56.9606 	 -16.0453 	 194.83 	 978330.23
-56.9644 	 -16.1112 	 135.32 	 978352.14
-57.0372 	 -16.1199 	 151.85 	 978350.68
-57.5414 	 -15.0565 	 216.91 	 978288.76
-57.6041 	 -15.0601 	 226.53 	 978289.64
-57.6378 	 -15.1229 	 220.93 	 978293.28
-57.6237 	 -15.2045 	 202.21 	 978304.99
-57.5417 	 -15.2036 	 180.95 	 978308.17
-57.4511 	 -15.204 	 197.77 	 978302.96
-57.5178 	 -15.1353 	 210.94 	 978295.16
-57.3739 	 -15.1261 	 196.96 	 978295.79
-57.4543 	 -15.1212 	 195.51 	 978296.4
-57.3788 	 -15.2231 	 193.74 	 978306.03
-57.2901 	 -15.2874 	 183.25 	 978313.67
-57.2947 	 -15.2106 	 190.12 	 978307.08
-57.2886 	 -15.1278 	 191.44 	 978299.32
-57.1933 	 -15.1307 	 154.48 	 978308.52
-57.1266 	 -15.2087 	 186.24 	 978307.21
-57.1997 	 -15.2072 	 157.0 	 978313.93
-57.0454 	 -15.2936 	 238.13 	 978292.51
-57.1298 	 -15.3773 	 186.34 	 978308.04
-57.2648 	 -15.378 	 150.84 	 978323.93
-57.3052 	 -15.4567 	 148.07 	 978327.16
-57.5444 	 -15.2927 	 200.15 	 978312.67
-57.5447 	 -15.3853 	 188.82 	 978320.8
-57.5154 	 -15.4583 	 164.33 	 978329.91
-57.4637 	 -15.3807 	 184.39 	 978319.81
-57.4481 	 -15.4592 	 176.74 	 978323.74
-57.4463 	 -15.2832 	 166.31 	 978316.68
-57.3872 	 -15.3006 	 183.11 	 978315.15
-57.3852 	 -15.3694 	 165.13 	 978322.64
-57.3748 	 -15.4571 	 140.68 	 978330.18
-56.9268 	 -15.2301 	 235.92 	 978286.41
-56.9532 	 -15.2903 	 233.7 	 978288.1
-56.8729 	 -15.2037 	 304.15 	 978270.65
-56.7922 	 -15.1402 	 240.21 	 978275.64
-56.7673 	 -15.1731 	 321.49 	 978257.25
-56.7018 	 -15.1343 	 306.01 	 978256.02
-56.6312 	 -15.1259 	 262.62 	 978260.54
-57.0277 	 -15.2012 	 186.61 	 978302.45
-57.2025 	 -14.8737 	 202.19 	 978282.07
-57.287 	 -14.8767 	 162.87 	 978288.68
-57.3711 	 -14.8818 	 209.85 	 978280.23
-57.2108 	 -14.7905 	 204.35 	 978278.44
-57.2038 	 -14.7091 	 220.43 	 978274.43
-57.1247 	 -14.7086 	 216.79 	 978275.5
-56.9632 	 -14.7141 	 215.73 	 978274.84
-57.1169 	 -14.7927 	 192.68 	 978281.13
-54.9752 	 -14.9322 	 489.07 	 978206.73
-54.7808 	 -14.6593 	 509.07 	 978169.97
-58.0055 	 -15.3218 	 188.04 	 978338.05
-56.2292 	 -16.2906 	 132.87 	 978411.76
-56.2048 	 -16.2057 	 134.59 	 978404.99
-56.206 	 -16.3357 	 130.86 	 978412.83
-56.1381 	 -16.3569 	 130.01 	 978413.13
-56.1314 	 -16.291 	 130.77 	 978401.93
-56.1384 	 -16.2263 	 133.64 	 978398.88
-56.0633 	 -16.2096 	 133.51 	 978398.95
-56.0694 	 -16.2888 	 133.87 	 978405.78
-56.5412 	 -16.2504 	 126.24 	 978426.83
-56.3244 	 -16.1775 	 134.73 	 978411.76
-56.2812 	 -16.1361 	 136.48 	 978405.88
-56.3454 	 -16.0375 	 143.64 	 978401.59
-56.2258 	 -16.1227 	 136.67 	 978402.56
