        generated_by     ICGEM (hosted at GFZ-Potsdam)
     generating_date     2019/08/30
----------------------------------------------------------------------
           modelname     EIGEN-6C4
     max_used_degree          2190
----------------------------------------------------------------------
         tide_system     tide_free
    zero_degree_term     included
----------------------------------------------------------------------
          refsysname     WGS84
   max_degree_refpot             8
            gmrefpot      3.98600441800E+14[m**3/s**2]
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
----------------------------------------------------------------------
    number_of_points           149
      latlimit_north       3.8286240000000    
      latlimit_south     -0.82196780000000    
      longlimit_west      -52.515660000000    
      longlimit_east      -50.697500000000    
----------------------------------------------------------------------
description of columns -----------------------------------------------
 1 identifier (from input)
 2 longitude  (from input)    [degree]
 3 latitude   (from input)    [degree]
 4 h_over_ell (from input)     [meter]
 -------------------------------------
81           -51.12440000    0.17720000 -3.000000E-01  9.780312671874E+05
82           -51.13800000    0.15230000  3.810000E+00  9.780287006746E+05
83           -51.10790000    0.09180000 -4.870000E+00  9.780332412373E+05
84           -50.95060000    2.49250000 -2.289000E+01  9.780235382538E+05
85           -50.91040000    1.50600000 -1.678000E+01  9.780066946762E+05
86           -51.10230000    0.91370000  9.980000E+00  9.780361582602E+05
87           -51.29000000    0.84800000  6.385000E+01  9.780165962690E+05
88           -51.79040000    0.62950000  5.460000E+01  9.780109309726E+05
89           -51.10087000    0.23061820  5.155000E+00  9.780330463137E+05
90           -51.29294000    0.21682140  7.910000E+00  9.780338224230E+05
91           -51.44013000    0.07190513 -1.937900E+01  9.780419351774E+05
92           -51.43190000   -0.22195930 -1.494600E+01  9.780353007205E+05
93           -51.18065000   -0.05734273 -1.550600E+01  9.780333153467E+05
94           -51.18021000   -0.05421576 -1.447000E+01  9.780330761711E+05
95           -51.16727000   -0.05446229 -1.414100E+01  9.780306988651E+05
96           -51.16013000   -0.06087440 -1.756100E+01  9.780303835983E+05
97           -50.73838000    0.57610980 -9.839000E+00  9.780203640540E+05
98           -51.73304000   -0.09165057 -9.500000E-01  9.780284549739E+05
99           -51.63681000    0.00985325  1.118300E+01  9.780249329576E+05
100          -51.83845000    0.64600080  5.176200E+01  9.780063213434E+05
101          -51.16648000   -0.05958514 -1.643600E+01  9.780310155884E+05
102          -51.16734000   -0.06161155 -1.776100E+01  9.780314570168E+05
103          -51.16795000   -0.06138142 -1.778300E+01  9.780315718313E+05
104          -52.51566000   -0.82196780  2.858400E+01  9.779919816512E+05
105          -50.87803000    1.80756700 -6.401000E+00  9.780036666681E+05
106          -51.95012000    0.78030480  5.242200E+01  9.779945865405E+05
107          -50.95049000    1.30138200  8.887000E+00  9.780095345203E+05
108          -51.18483000    0.84301570  2.878900E+01  9.780265288811E+05
109          -51.19821000    0.86612670  9.249000E+00  9.780330690952E+05
110          -51.07956000    0.08387761 -1.061900E+01  9.780382358655E+05
111          -50.96174000    2.30183900 -6.830000E+00  9.780186511959E+05
112          -50.96382000    2.37319500 -1.117100E+01  9.780197303892E+05
113          -51.06976000    1.07350700  2.781000E+01  9.780297997289E+05
114          -51.01866000    0.21629470 -3.129000E+00  9.780477704171E+05
115          -51.33245000    2.60400000  4.207100E+01  9.780121546508E+05
116          -51.39853000    2.84133100  1.162600E+01  9.780222840759E+05
117          -51.49894000    3.12358600  2.250300E+01  9.780243728733E+05
118          -51.79624000    3.82862400 -2.691000E+00  9.780170678437E+05
119          -51.14037000    0.13653470 -2.164000E+00  9.780302225647E+05
120          -51.32177000    0.23624900 -1.029900E+01  9.780392502044E+05
121          -50.91200000    1.54035900 -9.837000E+00  9.780035660130E+05
122          -50.89710000    2.07219800 -1.077400E+01  9.780162422631E+05
123          -51.03331000    2.48343100 -1.394500E+01  9.780178481662E+05
124          -51.08588000    0.31805370  5.447000E+00  9.780359695073E+05
125          -51.58773000    0.14530590 -1.524400E+01  9.780345165319E+05
126          -51.37454000    0.69125480  5.833400E+01  9.780146382770E+05
127          -51.42313000    0.70401960  5.393600E+01  9.780149257160E+05
128          -51.60822000    0.63974340  5.225300E+01  9.780213332550E+05
129          -51.05065000    0.03132001 -1.685400E+01  9.780429691844E+05
130          -52.02685000    0.85568870  7.560600E+01  9.779881992585E+05
131          -51.07281000    0.00507816 -1.820700E+01  9.780393800886E+05
132          -51.15151000    0.56622970  3.729500E+01  9.780277842507E+05
133          -52.27115000    1.02544400  9.352300E+01  9.779681730038E+05
134          -52.38391000    1.09704300  8.540600E+01  9.779681704051E+05
135          -51.29001000   -0.11484590 -1.149700E+01  9.780406854174E+05
136          -51.43460000   -0.09045219 -6.280000E+00  9.780397044950E+05
137          -52.38565000   -0.70861740  1.098160E+02  9.779838446580E+05
138          -52.00234000    0.90144290  1.235800E+02  9.779757477057E+05
139          -50.70443000    0.59959130 -9.870000E+00  9.780245139008E+05
140          -50.80975000    0.57565250 -6.269000E+00  9.780199688367E+05
141          -52.32898000   -0.59691540  7.554000E+01  9.779978448359E+05
142          -52.12110000   -0.45722530  1.369700E+01  9.780112939887E+05
143          -51.90069000   -0.33764520  5.192200E+01  9.780133758066E+05
144          -50.83877000    0.40073710 -1.494200E+01  9.780340742851E+05
145          -50.94290000    0.53146390 -1.036200E+01  9.780308277201E+05
146          -50.92278000    1.42370100  2.842000E+00  9.780035148149E+05
147          -51.76787000    3.53685000  4.884400E+01  9.780112480365E+05
148          -51.63048000    3.31472800  1.852200E+01  9.780186881193E+05
149          -50.80060000    0.68369840 -3.937000E+00  9.780280735678E+05
