LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
-38.8034 	 -6.7245 	 261.74 	 978011.94
-38.7552 	 -6.8074 	 309.63 	 978009.27
-38.7657 	 -7.0052 	 356.85 	 978001.4
-38.7828 	 -7.0556 	 354.78 	 977999.26
-38.9215 	 -4.5651 	 124.11 	 978029.35
-38.5169 	 -5.7481 	 145.18 	 978050.64
-38.6859 	 -6.2414 	 166.01 	 978036.4
-38.7039 	 -6.2636 	 145.86 	 978037.84
-38.8567 	 -6.4449 	 200.96 	 978024.83
-38.8565 	 -6.4706 	 200.43 	 978023.25
-38.8607 	 -6.4964 	 220.45 	 978018.67
-38.8592 	 -6.5543 	 245.25 	 978010.17
-38.8342 	 -3.7945 	 42.86 	 978054.08
-38.8176 	 -3.8134 	 53.75 	 978050.99
-38.8109 	 -3.8287 	 36.71 	 978054.25
-38.7906 	 -3.8284 	 30.34 	 978056.09
-40.9218 	 -3.8548 	 832.5 	 977859.83
-40.9086 	 -3.885 	 886.11 	 977845.99
-40.8868 	 -3.9195 	 863.97 	 977850.4
-40.8654 	 -4.0479 	 887.4 	 977841.01
-38.5389 	 -3.8256 	 14.47 	 978064.94
-38.5486 	 -3.8222 	 15.93 	 978063.03
-38.6164 	 -3.8311 	 21.79 	 978055.72
-38.6236 	 -3.8278 	 27.28 	 978055.39
-38.9084 	 -3.6509 	 21.56 	 978069.74
-38.902 	 -3.6329 	 11.7 	 978073.73
-38.8998 	 -3.6145 	 16.0 	 978074.92
-38.9204 	 -3.5448 	 13.79 	 978082.17
-38.9398 	 -3.5448 	 11.9 	 978081.0
-38.9456 	 -3.5354 	 6.98 	 978082.31
-38.9534 	 -3.5501 	 3.5 	 978080.59
-38.9698 	 -3.5137 	 9.72 	 978079.6
-38.9626 	 -3.5004 	 13.76 	 978082.17
-38.9587 	 -3.4895 	 19.27 	 978082.68
-38.9717 	 -3.4595 	 10.85 	 978082.07
-38.9851 	 -3.4484 	 13.23 	 978080.99
-39.0026 	 -3.4443 	 11.51 	 978079.02
-39.1609 	 -3.5826 	 30.77 	 978052.8
-39.1442 	 -3.5868 	 33.48 	 978052.52
-39.129 	 -3.5893 	 50.4 	 978049.42
-39.0792 	 -3.6012 	 31.55 	 978056.23
-39.0615 	 -3.6018 	 23.78 	 978059.31
-39.0495 	 -3.612 	 34.11 	 978058.06
-38.9421 	 -7.3078 	 334.74 	 977978.62
-38.8408 	 -7.2497 	 495.28 	 977966.2
-38.962 	 -7.3955 	 385.84 	 977960.1
-40.5661 	 -4.7069 	 226.82 	 977956.39
-40.5453 	 -4.7322 	 258.17 	 977946.85
-40.4908 	 -4.8392 	 315.37 	 977944.96
-40.4719 	 -4.8792 	 308.72 	 977952.32
-40.7592 	 -4.1603 	 917.62 	 977827.06
-40.749 	 -4.1659 	 888.0 	 977829.81
-38.4819 	 -3.8369 	 8.74 	 978069.2
-38.4194 	 -3.8703 	 18.73 	 978072.93
-38.4256 	 -3.8956 	 20.78 	 978072.65
-38.4653 	 -3.8711 	 12.62 	 978070.78
-39.054 	 -3.6404 	 43.53 	 978056.15
-39.059 	 -3.6604 	 49.21 	 978053.47
-38.9979 	 -3.6548 	 4.79 	 978066.98
-38.989 	 -3.6376 	 1.03 	 978069.11
-41.1153 	 -3.6153 	 738.15 	 977876.66
-38.5403 	 -3.7908 	 16.35 	 978065.73
-38.5467 	 -3.7892 	 16.3 	 978065.71
-38.5519 	 -3.7856 	 16.05 	 978065.66
-38.5628 	 -3.7736 	 21.05 	 978064.85
-38.5747 	 -3.7531 	 23.61 	 978066.54
-38.5283 	 -3.8117 	 9.36 	 978066.47
-38.5344 	 -3.8189 	 18.2 	 978063.75
-38.1702 	 -4.6321 	 48.51 	 978077.39
