INDEX 	 LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
9461 	 -45.9983 	 -4.1383 	 18.68 	 977985.44
9462 	 -46.0539 	 -4.1908 	 34.31 	 977989.97
9463 	 -46.1189 	 -4.1667 	 70.16 	 977988.14
9464 	 -46.1678 	 -4.2219 	 245.73 	 977946.65
9465 	 -46.2183 	 -4.2872 	 237.49 	 977940.26
9466 	 -46.3 	 -4.3114 	 243.93 	 977931.32
9467 	 -46.3789 	 -4.3506 	 187.99 	 977954.85
9468 	 -46.1989 	 -4.2458 	 268.2 	 977938.54
9469 	 -46.5028 	 -4.3028 	 81.79 	 977985.21
9470 	 -44.8978 	 -2.7575 	 -5.89 	 977987.27
9471 	 -44.8486 	 -2.7183 	 -21.27 	 977988.55
9472 	 -44.5606 	 -5.1103 	 77.42 	 978010.21
9473 	 -45.205 	 -2.6403 	 -9.29 	 977961.32
9474 	 -45.1603 	 -2.5561 	 -0.59 	 977942.25
9475 	 -45.1253 	 -2.5381 	 -13.23 	 977943.03
9476 	 -47.4831 	 -5.5222 	 103.27 	 978002.16
9477 	 -47.4892 	 -5.5117 	 98.54 	 978005.36
9478 	 -47.4958 	 -5.4914 	 96.91 	 978006.04
9479 	 -47.4853 	 -5.4958 	 103.2 	 978004.19
9480 	 -47.4794 	 -5.4997 	 103.02 	 978004.73
9481 	 -44.6553 	 -4.3431 	 6.45 	 978008.2
9482 	 -44.6686 	 -4.3753 	 4.01 	 978008.24
9483 	 -44.3351 	 -4.3732 	 21.77 	 978009.32
9484 	 -44.4508 	 -4.5028 	 29.68 	 978005.14
9485 	 -44.5003 	 -4.5644 	 22.1 	 978009.73
9486 	 -44.5753 	 -4.5811 	 18.09 	 978009.38
9487 	 -46.0289 	 -1.7139 	 22.51 	 978003.85
9488 	 -46.0022 	 -1.6525 	 27.83 	 978006.95
9489 	 -46.0 	 -1.585 	 22.53 	 978009.81
9490 	 -46.0175 	 -1.4578 	 8.86 	 978029.97
9491 	 -46.035 	 -1.3908 	 -5.08 	 978035.67
9492 	 -46.0367 	 -1.3228 	 4.63 	 978030.63
9493 	 -46.0203 	 -1.2014 	 -13.19 	 978046.12
9494 	 -45.7044 	 -2.8022 	 2.12 	 978011.2
9495 	 -45.725 	 -2.7253 	 18.72 	 978003.34
9496 	 -45.7706 	 -2.5611 	 27.36 	 977992.71
9497 	 -45.8319 	 -2.3292 	 13.43 	 977978.05
9498 	 -45.9122 	 -2.1006 	 13.27 	 977977.61
9499 	 -45.9967 	 -1.9858 	 24.76 	 977995.94
9500 	 -45.6919 	 -2.8514 	 -3.83 	 978012.66
9501 	 -45.67 	 -2.9311 	 -0.26 	 978005.71
9502 	 -45.6467 	 -3.0181 	 10.32 	 977995.78
9503 	 -45.6442 	 -3.1453 	 19.2 	 977989.61
9504 	 -45.6556 	 -3.2769 	 10.44 	 977986.6
9505 	 -45.6622 	 -3.3544 	 15.54 	 977982.52
9506 	 -45.6672 	 -3.4922 	 22.79 	 977978.21
9507 	 -45.5039 	 -3.6297 	 -1.21 	 977981.84
9508 	 -45.4656 	 -3.6594 	 -11.55 	 977985.5
9509 	 -45.3764 	 -3.6558 	 -3.67 	 977985.82
9510 	 -45.3247 	 -3.6944 	 -11.15 	 977990.68
9511 	 -45.1856 	 -3.6394 	 -2.72 	 977994.06
9512 	 -45.1214 	 -3.6044 	 -5.67 	 977995.13
9513 	 -44.9061 	 -3.5472 	 -3.54 	 977999.06
9514 	 -44.8025 	 -3.4556 	 -17.79 	 977999.21
9515 	 -44.7597 	 -3.5064 	 -11.33 	 977995.33
9516 	 -46.2461 	 -1.7808 	 -9.7 	 978032.6
9517 	 -46.1817 	 -1.8064 	 -5.21 	 978023.66
9518 	 -45.3494 	 -2.9728 	 -4.12 	 977989.25
9519 	 -45.2864 	 -2.7747 	 -8.78 	 977986.6
9520 	 -44.1961 	 -2.4764 	 20.09 	 977987.53
9521 	 -43.9353 	 -4.2753 	 20.88 	 978007.57
9522 	 -43.9358 	 -4.2517 	 20.89 	 978007.87
9523 	 -43.9189 	 -4.2314 	 17.19 	 978008.98
9524 	 -44.6522 	 -3.5811 	 -9.73 	 977987.85
9525 	 -44.8614 	 -3.4047 	 -17.56 	 978004.27
9526 	 -44.8683 	 -3.3386 	 -17.76 	 978005.76
9527 	 -44.9017 	 -3.2761 	 -18.61 	 978007.39
9528 	 -44.9428 	 -3.2228 	 -17.9 	 978008.76
9529 	 -45.0056 	 -3.2017 	 -16.7 	 978009.0
9530 	 -45.0808 	 -3.105 	 -17.54 	 977993.2
9531 	 -45.0297 	 -3.0756 	 -1.62 	 977999.0
9532 	 -45.0267 	 -3.0103 	 -10.29 	 978002.58
9533 	 -46.1103 	 -1.8197 	 18.49 	 978007.17
9534 	 -46.0656 	 -1.7736 	 39.96 	 978005.78
9535 	 -44.3578 	 -3.3928 	 -4.86 	 977984.06
9536 	 -44.3658 	 -3.3858 	 -9.41 	 977985.52
9537 	 -44.3953 	 -3.3656 	 -0.86 	 977986.84
9538 	 -44.4128 	 -3.3519 	 -0.09 	 977988.44
9539 	 -44.4283 	 -3.3414 	 4.8 	 977988.06
9540 	 -44.4881 	 -3.3794 	 32.71 	 977977.44
9541 	 -44.4944 	 -3.3878 	 26.05 	 977978.67
9542 	 -44.0847 	 -4.0819 	 58.65 	 978001.9
9543 	 -44.3439 	 -4.5703 	 56.02 	 978003.25
9544 	 -44.3453 	 -4.5836 	 60.72 	 978003.15
9545 	 -44.3428 	 -4.6103 	 60.48 	 978005.27
9546 	 -43.0861 	 -4.9794 	 142.16 	 977992.1
9547 	 -44.1294 	 -4.1261 	 7.74 	 978010.13
9548 	 -43.8747 	 -4.6303 	 75.59 	 977999.82
9549 	 -44.7856 	 -2.4494 	 -9.21 	 977969.11
9550 	 -44.18 	 -3.4894 	 29.12 	 978001.44
9551 	 -43.0289 	 -4.2706 	 37.18 	 978004.9
9552 	 -45.0724 	 -2.5156 	 -12.72 	 977942.73
9553 	 -44.9392 	 -2.5794 	 -9.34 	 977961.63
9554 	 -44.9256 	 -2.5569 	 -2.01 	 977960.13
9555 	 -43.3628 	 -4.8633 	 42.83 	 978014.48
9556 	 -43.3928 	 -4.7453 	 60.85 	 978013.66
9557 	 -44.2747 	 -2.4989 	 -9.36 	 977987.43
9558 	 -44.7411 	 -2.7056 	 -21.5 	 977996.51
9559 	 -44.7358 	 -2.7278 	 -17.84 	 977998.31
9560 	 -44.7303 	 -2.7469 	 -19.03 	 978001.07
9561 	 -44.7272 	 -2.7669 	 -16.8 	 978004.23
9562 	 -44.7333 	 -2.7853 	 -9.95 	 978004.43
9563 	 -44.7336 	 -2.8042 	 -6.75 	 978007.15
9564 	 -44.7294 	 -2.8242 	 -13.34 	 978011.87
9565 	 -42.7036 	 -3.6878 	 72.29 	 978014.75
9566 	 -42.7217 	 -3.695 	 63.92 	 978016.74
9567 	 -44.4456 	 -4.2231 	 28.02 	 978008.1
9568 	 -44.5769 	 -3.5456 	 20.97 	 977982.26
9569 	 -44.5683 	 -3.5406 	 13.82 	 977984.27
9570 	 -44.5553 	 -3.5236 	 24.73 	 977982.27
9571 	 -44.5347 	 -3.4778 	 26.65 	 977983.61
9572 	 -44.5303 	 -3.4622 	 19.49 	 977985.37
9573 	 -44.5233 	 -3.4419 	 1.11 	 977989.54
9574 	 -44.5144 	 -3.4214 	 23.68 	 977983.58
9575 	 -44.5072 	 -3.4014 	 19.49 	 977981.8
9576 	 -44.5128 	 -3.3847 	 28.75 	 977977.06
9577 	 -44.5228 	 -3.3797 	 11.7 	 977979.47
9578 	 -44.5322 	 -3.375 	 -2.08 	 977982.09
9579 	 -44.5436 	 -3.3669 	 -3.9 	 977980.95
9580 	 -44.5525 	 -3.3486 	 -7.02 	 977979.88
9581 	 -44.5669 	 -3.3394 	 -9.11 	 977980.17
9582 	 -44.5828 	 -3.3239 	 -12.52 	 977981.53
9583 	 -44.5917 	 -3.3072 	 -9.45 	 977982.49
9584 	 -44.5861 	 -3.2742 	 -11.46 	 977985.74
9585 	 -44.5878 	 -3.2647 	 -4.01 	 977985.35
9586 	 -44.6075 	 -3.26 	 -15.6 	 977990.81
9587 	 -44.6178 	 -3.2636 	 -16.58 	 977991.36
9588 	 -44.6178 	 -3.2653 	 -17.76 	 977991.47
9589 	 -44.62 	 -3.2642 	 -17.67 	 977991.82
9590 	 -44.9603 	 -3.5758 	 17.33 	 977993.51
9591 	 -44.8183 	 -2.8811 	 -8.25 	 978013.27
9592 	 -44.8297 	 -2.8864 	 -6.31 	 978014.17
9593 	 -44.8503 	 -2.8694 	 -15.06 	 978016.53
9594 	 -43.4986 	 -4.9472 	 85.83 	 978011.25
9595 	 -43.5231 	 -4.9492 	 78.57 	 978014.48
9596 	 -43.6033 	 -4.9739 	 117.47 	 978010.9
9597 	 -43.6981 	 -5.0364 	 95.82 	 978015.21
9598 	 -43.0472 	 -4.8717 	 51.54 	 978012.36
9599 	 -43.0319 	 -4.8581 	 57.51 	 978011.37
9600 	 -44.0756 	 -3.4619 	 18.03 	 978009.03
9601 	 -44.3664 	 -4.4819 	 49.86 	 978002.12
9602 	 -44.8792 	 -2.8903 	 -15.71 	 978018.22
9603 	 -44.8678 	 -2.9136 	 -6.47 	 978014.3
9604 	 -44.8531 	 -2.9244 	 -3.01 	 978012.52
9605 	 -44.8386 	 -2.9353 	 1.6 	 978010.6
9606 	 -44.8203 	 -2.9486 	 -4.14 	 978011.68
9607 	 -44.8028 	 -2.9558 	 -11.0 	 978013.33
9608 	 -44.8506 	 -2.9481 	 -3.78 	 978007.85
9609 	 -44.6753 	 -2.8722 	 -11.19 	 978024.48
9610 	 -44.6858 	 -2.8678 	 -11.45 	 978023.63
9611 	 -44.6972 	 -2.8583 	 -12.27 	 978021.05
9612 	 -44.7061 	 -2.8522 	 -7.29 	 978017.13
9613 	 -44.72 	 -2.8506 	 -6.68 	 978016.51
9614 	 -44.7314 	 -2.8536 	 -2.98 	 978015.34
9615 	 -44.7486 	 -2.8564 	 -5.02 	 978015.13
9616 	 -44.7578 	 -2.8589 	 -1.53 	 978013.82
9617 	 -44.7969 	 -2.8736 	 -14.47 	 978015.59
9618 	 -43.1892 	 -4.1869 	 53.89 	 978022.45
9619 	 -43.2056 	 -4.1778 	 52.65 	 978022.44
9620 	 -43.2278 	 -4.1711 	 38.68 	 978024.27
9621 	 -43.2322 	 -4.1564 	 37.21 	 978024.68
9622 	 -43.2322 	 -4.1564 	 88.38 	 978012.37
9623 	 -43.2656 	 -4.1431 	 43.1 	 978021.77
9624 	 -43.2919 	 -4.1303 	 87.79 	 978007.68
9625 	 -43.3131 	 -4.1269 	 73.66 	 978006.98
9626 	 -43.3283 	 -4.1308 	 45.96 	 978010.7
9627 	 -43.0278 	 -4.3561 	 26.3 	 978014.97
9628 	 -42.9997 	 -4.1828 	 36.67 	 978014.56
9629 	 -42.9925 	 -4.1661 	 27.38 	 978017.97
9630 	 -42.9928 	 -4.1569 	 24.29 	 978019.28
9631 	 -42.9706 	 -4.1517 	 27.04 	 978020.38
9632 	 -42.9528 	 -4.1361 	 36.07 	 978021.02
9633 	 -42.9581 	 -4.1147 	 21.88 	 978022.91
9634 	 -42.9578 	 -4.0733 	 25.78 	 978021.9
9635 	 -42.9589 	 -4.0536 	 32.06 	 978020.63
9636 	 -42.9528 	 -4.0378 	 22.93 	 978022.04
9637 	 -42.9422 	 -3.9961 	 31.96 	 978019.08
9638 	 -42.9294 	 -3.9619 	 36.42 	 978017.24
9639 	 -42.94 	 -3.9303 	 89.77 	 978006.46
9640 	 -42.9442 	 -3.8903 	 91.46 	 978006.12
9641 	 -42.9456 	 -3.8678 	 87.45 	 978006.91
9642 	 -42.9483 	 -3.8456 	 85.54 	 978003.03
9643 	 -42.9508 	 -3.8222 	 85.89 	 978003.52
9644 	 -42.9536 	 -3.8011 	 86.83 	 978003.65
9645 	 -42.9633 	 -3.7814 	 88.14 	 978006.88
9646 	 -42.9847 	 -3.7428 	 82.11 	 978011.11
9647 	 -42.9906 	 -3.7214 	 82.57 	 978013.11
9648 	 -42.9972 	 -3.6997 	 79.5 	 978015.34
9649 	 -44.9889 	 -2.9667 	 -13.33 	 978001.51
9650 	 -44.9389 	 -2.9261 	 -4.59 	 978003.96
9651 	 -44.8822 	 -2.8981 	 -14.01 	 978016.86
9652 	 -44.8728 	 -2.9464 	 6.48 	 978004.82
9653 	 -44.9411 	 -2.8578 	 0.19 	 978013.12
9654 	 -44.9419 	 -2.8158 	 -14.3 	 978005.68
9655 	 -44.8728 	 -2.9458 	 4.38 	 978004.18
9656 	 -44.8911 	 -2.9044 	 3.57 	 978004.28
9657 	 -44.9289 	 -2.925 	 -0.6 	 978003.86
9658 	 -44.9483 	 -2.9322 	 -7.37 	 978003.75
9659 	 -44.9889 	 -2.9672 	 -14.38 	 978001.38
9660 	 -44.9906 	 -2.9906 	 -4.93 	 978000.68
9661 	 -45.0117 	 -3.0092 	 -9.87 	 978002.36
9662 	 -45.0317 	 -3.0147 	 -8.89 	 978002.06
9663 	 -45.0306 	 -3.0644 	 -2.97 	 978000.25
9664 	 -44.8497 	 -4.6606 	 32.41 	 978001.72
9665 	 -44.9281 	 -4.6678 	 19.98 	 978001.18
9666 	 -45.3767 	 -3.6561 	 -3.31 	 977985.81
9667 	 -43.0967 	 -4.2036 	 71.92 	 978012.71
9668 	 -43.1119 	 -4.1958 	 70.31 	 978016.04
9669 	 -43.1289 	 -4.1942 	 54.49 	 978020.87
9670 	 -44.9503 	 -4.645 	 40.97 	 977996.02
9671 	 -44.8533 	 -3.4519 	 -18.16 	 978000.63
9672 	 -44.7603 	 -4.6253 	 27.4 	 978003.0
9673 	 -44.9028 	 -3.2658 	 -20.39 	 978007.64
9674 	 -44.9553 	 -3.2167 	 -20.62 	 978009.27
9675 	 -44.9714 	 -3.2061 	 -13.55 	 978008.47
9676 	 -44.9989 	 -3.2106 	 -13.07 	 978008.04
9677 	 -43.4294 	 -4.9022 	 91.17 	 978006.66
9678 	 -43.4533 	 -4.9244 	 99.12 	 978005.82
9679 	 -45.235 	 -4.2706 	 35.5 	 978004.08
9680 	 -45.0003 	 -3.2197 	 -12.36 	 978007.55
9681 	 -45.0517 	 -3.1731 	 -9.91 	 978000.93
9682 	 -45.0606 	 -3.1597 	 -6.54 	 977995.77
9683 	 -45.0642 	 -3.1553 	 -16.08 	 977996.45
9684 	 -45.0536 	 -3.0933 	 -7.81 	 977994.22
9685 	 -44.8644 	 -2.5939 	 -17.4 	 977975.58
9686 	 -44.8711 	 -2.6217 	 -12.72 	 977975.46
9687 	 -44.8783 	 -2.6394 	 -18.05 	 977977.79
9688 	 -44.9164 	 -2.6631 	 -3.63 	 977972.32
9689 	 -44.8886 	 -2.7039 	 -16.64 	 977983.21
9690 	 -44.8564 	 -2.6983 	 -20.02 	 977987.15
9691 	 -44.8228 	 -2.7028 	 -16.71 	 977990.83
9692 	 -44.7828 	 -2.6992 	 -21.88 	 977994.69
9693 	 -44.9283 	 -2.6997 	 -22.36 	 977995.24
9694 	 -44.6172 	 -2.4844 	 -3.4 	 977980.76
9695 	 -44.5169 	 -2.3456 	 8.5 	 977982.03
9696 	 -44.4064 	 -2.3786 	 23.75 	 977978.87
9697 	 -44.4156 	 -2.4069 	 7.52 	 977977.34
9698 	 -44.4169 	 -2.4086 	 11.17 	 977976.32
9699 	 -44.4092 	 -2.4003 	 7.72 	 977978.26
9700 	 -44.8719 	 -3.4603 	 -17.65 	 978001.73
9701 	 -44.8747 	 -3.4578 	 -15.87 	 978001.55
9702 	 -44.2397 	 -2.5989 	 34.19 	 977974.7
9703 	 -45.2394 	 -4.2844 	 38.31 	 978003.57
9704 	 -45.2494 	 -4.2889 	 46.28 	 978001.68
9705 	 -44.8578 	 -3.3547 	 -19.29 	 978005.98
9706 	 -44.8769 	 -3.3233 	 -20.44 	 978006.5
9707 	 -45.2272 	 -4.2514 	 32.48 	 978003.95
9708 	 -44.9211 	 -2.6789 	 -5.65 	 977976.35
9709 	 -44.5853 	 -5.0517 	 46.24 	 978013.06
9710 	 -44.6378 	 -5.0797 	 61.4 	 978010.04
9711 	 -44.3783 	 -3.3772 	 0.51 	 977984.49
9712 	 -43.4272 	 -3.7403 	 26.22 	 978042.63
9713 	 -43.0583 	 -4.2503 	 45.35 	 978010.28
9714 	 -43.1714 	 -4.1936 	 54.0 	 978021.6
9715 	 -43.2703 	 -4.1278 	 41.02 	 978021.44
9716 	 -45.7475 	 -2.6436 	 25.17 	 977999.53
9717 	 -45.8756 	 -2.1706 	 33.1 	 977964.44
9718 	 -46.0447 	 -1.9169 	 24.21 	 978004.56
9719 	 -45.6478 	 -3.1931 	 11.97 	 977990.39
9720 	 -45.5639 	 -3.5786 	 9.02 	 977979.22
9721 	 -45.2581 	 -3.6789 	 -3.72 	 977994.92
9722 	 -44.7103 	 -3.5602 	 -11.46 	 977992.69
9723 	 -46.6886 	 -4.3861 	 128.31 	 977975.29
9724 	 -46.9494 	 -4.6206 	 81.73 	 977981.91
9725 	 -47.1825 	 -4.7808 	 231.9 	 977950.71
9726 	 -47.4561 	 -4.9356 	 222.15 	 977978.03
9727 	 -46.1092 	 -4.8089 	 285.84 	 977948.17
9728 	 -44.8772 	 -3.8592 	 -10.26 	 978002.88
9729 	 -44.3706 	 -4.4356 	 75.43 	 977995.62
9730 	 -43.7314 	 -4.7239 	 145.49 	 977999.0
9731 	 -46.0106 	 -1.527 	 15.19 	 978018.55
9732 	 -45.1961 	 -3.6231 	 10.33 	 977989.89
9733 	 -44.8119 	 -2.9542 	 -7.01 	 978011.63
9734 	 -43.72 	 -3.5944 	 9.67 	 978033.12
9735 	 -46.4394 	 -4.3247 	 -12.73 	 977975.5
9736 	 -46.1611 	 -4.5553 	 264.09 	 977945.59
9737 	 -42.9492 	 -3.9111 	 95.0 	 978005.97
9738 	 -42.9758 	 -3.7633 	 84.92 	 978010.07
9739 	 -42.9494 	 -4.0139 	 31.2 	 978019.88
9740 	 -45.0439 	 -3.5831 	 -7.52 	 977997.68
9741 	 -45.2225 	 -3.5844 	 -6.84 	 977989.89
9742 	 -45.06 	 -3.16 	 -5.02 	 977996.45
9743 	 -46.0331 	 -1.2583 	 5.31 	 978037.59
9744 	 -44.9689 	 -3.5822 	 0.16 	 977997.04
9745 	 -44.9444 	 -4.0933 	 6.79 	 977998.48
9746 	 -44.5947 	 -3.2917 	 -8.52 	 977983.77
9747 	 -44.8761 	 -2.6056 	 -5.29 	 977971.83
9748 	 -44.9378 	 -2.6672 	 3.64 	 977971.06
9749 	 -44.8353 	 -2.7036 	 -12.34 	 977989.07
9750 	 -44.4653 	 -5.4208 	 114.96 	 978015.05
9751 	 -47.3897 	 -6.405 	 118.29 	 978031.72
9752 	 -47.3969 	 -6.4447 	 136.55 	 978014.94
9753 	 -47.4017 	 -6.5311 	 152.98 	 978010.03
9754 	 -42.2523 	 -2.8625 	 1.66 	 977973.07
9755 	 -42.3081 	 -2.8961 	 -11.89 	 977980.42
9756 	 -42.5404 	 -2.7206 	 -18.39 	 977970.83
9757 	 -43.5288 	 -3.3343 	 11.49 	 978040.19
9758 	 -45.8578 	 -4.0791 	 19.47 	 977988.4
9759 	 -46.2169 	 -4.2867 	 238.42 	 977941.57
9760 	 -46.2498 	 -4.3078 	 245.49 	 977934.72
9761 	 -46.3479 	 -4.3291 	 237.94 	 977938.28
9762 	 -46.3621 	 -4.3428 	 220.99 	 977944.76
9763 	 -46.5124 	 -4.3075 	 162.66 	 977968.38
9764 	 -46.7862 	 -4.4389 	 167.41 	 977965.97
9765 	 -46.8268 	 -4.45 	 169.05 	 977965.61
9766 	 -46.874 	 -4.5142 	 146.89 	 977969.94
9767 	 -46.9124 	 -4.5844 	 146.38 	 977968.25
9768 	 -46.9425 	 -4.6148 	 81.77 	 977983.02
9769 	 -46.9686 	 -4.663 	 167.07 	 977963.78
9770 	 -47.5465 	 -5.1271 	 282.07 	 977982.46
9771 	 -47.3587 	 -5.8161 	 117.8 	 978004.04
9772 	 -47.3589 	 -5.8643 	 111.06 	 978007.31
9773 	 -47.3819 	 -6.0819 	 107.73 	 978009.04
9774 	 -44.6531 	 -4.2128 	 -1.08 	 978012.84
9775 	 -45.2578 	 -3.5264 	 -12.17 	 977985.39
9776 	 -47.3806 	 -6.3711 	 130.0 	 978037.55
9777 	 -47.3875 	 -6.5144 	 121.57 	 978016.91
9778 	 -47.3869 	 -6.4856 	 150.59 	 978009.37
9779 	 -47.3817 	 -5.6669 	 138.25 	 977995.01
9780 	 -47.4669 	 -5.5417 	 95.81 	 978004.05
9781 	 -47.4289 	 -5.5961 	 108.88 	 978000.41
9782 	 -47.4058 	 -5.6311 	 117.78 	 977998.09
9783 	 -47.3944 	 -5.6497 	 130.84 	 977996.51
9784 	 -47.3656 	 -5.69 	 142.42 	 977994.63
9785 	 -47.3603 	 -5.7086 	 135.09 	 977997.4
9786 	 -47.3597 	 -5.73 	 172.51 	 977990.81
9787 	 -47.3678 	 -5.7481 	 174.52 	 977991.65
9788 	 -47.3594 	 -5.7822 	 135.32 	 978001.71
9789 	 -47.36 	 -5.8008 	 145.06 	 977999.11
9790 	 -47.3608 	 -5.8808 	 156.25 	 977998.27
9791 	 -47.3653 	 -5.8981 	 138.81 	 978002.8
9792 	 -47.3742 	 -5.9136 	 143.7 	 978003.28
9793 	 -43.2588 	 -3.064 	 70.79 	 978013.69
9794 	 -43.4731 	 -3.2903 	 70.27 	 978027.36
9795 	 -43.5739 	 -3.5149 	 41.76 	 978040.9
9796 	 -44.8349 	 -5.4025 	 96.54 	 978004.18
9797 	 -44.9679 	 -5.418 	 142.02 	 977982.85
9798 	 -45.0761 	 -5.4342 	 92.1 	 978001.77
9799 	 -45.1717 	 -5.4628 	 130.67 	 977997.07
9800 	 -45.3258 	 -5.4347 	 167.11 	 977993.7
9801 	 -45.4356 	 -5.4381 	 162.0 	 977994.93
9802 	 -45.7209 	 -5.5941 	 247.99 	 977961.33
9803 	 -45.8465 	 -5.6609 	 188.23 	 977975.04
9804 	 -46.0236 	 -5.7445 	 207.98 	 977967.93
9805 	 -46.4237 	 -5.9703 	 292.24 	 977951.17
9806 	 -46.5181 	 -6.0222 	 322.23 	 977946.27
9807 	 -46.598 	 -6.0385 	 283.77 	 977955.33
9808 	 -46.6544 	 -6.0447 	 269.15 	 977953.68
9809 	 -46.7762 	 -6.082 	 252.62 	 977961.86
9810 	 -46.8678 	 -6.1368 	 232.91 	 977974.58
9811 	 -47.0041 	 -6.1662 	 183.07 	 977991.49
9812 	 -47.0965 	 -6.2156 	 174.6 	 977999.34
9813 	 -47.1897 	 -6.2621 	 181.32 	 978000.95
9814 	 -47.3161 	 -6.3157 	 155.34 	 978017.09
9815 	 -47.3839 	 -5.9283 	 131.26 	 978005.5
9816 	 -47.3836 	 -5.9608 	 122.75 	 978007.37
9817 	 -47.3836 	 -5.9811 	 124.75 	 978007.53
9818 	 -47.3825 	 -6.0417 	 119.76 	 978005.55
9819 	 -47.3697 	 -6.1478 	 145.23 	 978010.41
9820 	 -47.36 	 -6.1931 	 155.22 	 978010.07
9821 	 -47.3769 	 -6.3558 	 159.95 	 978029.52
9822 	 -47.4 	 -6.3392 	 138.39 	 978032.44
9823 	 -47.3822 	 -6.0264 	 124.88 	 978003.86
9824 	 -47.3822 	 -6.0619 	 135.95 	 978001.92
9825 	 -45.386 	 -5.4181 	 200.45 	 977986.33
9826 	 -45.4074 	 -5.4307 	 126.7 	 978003.74
9827 	 -46.6293 	 -6.0362 	 232.29 	 977964.98
9828 	 -46.677 	 -6.0534 	 268.69 	 977951.99
9829 	 -46.7018 	 -6.063 	 294.43 	 977947.47
9830 	 -46.7285 	 -6.0649 	 292.2 	 977951.01
9831 	 -46.7992 	 -6.0938 	 252.03 	 977962.86
9832 	 -46.8214 	 -6.1097 	 221.13 	 977971.57
9833 	 -46.8466 	 -6.1249 	 242.25 	 977970.7
9834 	 -46.8897 	 -6.1437 	 238.53 	 977975.53
9835 	 -46.9104 	 -6.1454 	 204.37 	 977984.51
9836 	 -46.9547 	 -6.1494 	 203.16 	 977987.44
9837 	 -46.98 	 -6.1591 	 194.88 	 977989.28
9838 	 -47.0263 	 -6.1822 	 174.5 	 977995.21
9839 	 -47.0479 	 -6.2012 	 145.46 	 978004.9
9840 	 -47.0708 	 -6.2085 	 171.26 	 978000.18
9841 	 -47.1169 	 -6.2345 	 196.65 	 977994.38
9842 	 -47.143 	 -6.2446 	 210.7 	 977992.29
9843 	 -47.1654 	 -6.2532 	 186.37 	 977998.05
9844 	 -47.2179 	 -6.2667 	 151.66 	 978009.04
9845 	 -47.2919 	 -6.3006 	 185.23 	 978007.49
9846 	 -47.2444 	 -6.2777 	 191.38 	 978003.78
9847 	 -47.3418 	 -6.3201 	 177.83 	 978014.2
9848 	 -47.3607 	 -6.3368 	 164.8 	 978020.96
9849 	 -41.9977 	 -2.9844 	 8.65 	 978046.86
9850 	 -45.8996 	 -5.6863 	 194.87 	 977973.16
9851 	 -45.9271 	 -5.6993 	 195.9 	 977972.57
9852 	 -45.9518 	 -5.7109 	 182.01 	 977974.87
9853 	 -45.9789 	 -5.7236 	 201.1 	 977970.38
9854 	 -42.7743 	 -2.751 	 -17.4 	 977969.02
9855 	 -42.3057 	 -2.8573 	 1.87 	 977968.81
9856 	 -44.5107 	 -5.2863 	 70.36 	 978019.37
9857 	 -44.5355 	 -5.2902 	 80.63 	 978016.18
9858 	 -47.3975 	 -6.4664 	 163.93 	 978007.07
9859 	 -47.38 	 -6.1036 	 121.02 	 978010.03
9860 	 -47.375 	 -6.1261 	 136.45 	 978009.41
9861 	 -47.3644 	 -6.1708 	 148.05 	 978011.05
9862 	 -47.3567 	 -6.2083 	 140.24 	 978013.93
9863 	 -47.3522 	 -6.2306 	 156.17 	 978012.37
9864 	 -47.3556 	 -6.2631 	 133.49 	 978019.27
9865 	 -47.3606 	 -6.2844 	 124.46 	 978023.49
9866 	 -47.365 	 -6.3017 	 123.79 	 978024.78
9867 	 -47.3681 	 -6.3186 	 147.66 	 978022.79
9868 	 -47.3756 	 -6.3494 	 158.35 	 978027.57
9869 	 -47.4394 	 -6.5519 	 150.83 	 978015.35
9870 	 -47.5514 	 -5.1068 	 297.79 	 977980.34
9871 	 -47.4781 	 -5.5419 	 97.31 	 978004.74
9872 	 -47.4503 	 -5.5647 	 105.39 	 978001.51
9873 	 -47.4408 	 -5.5786 	 114.36 	 977998.64
9874 	 -47.4164 	 -5.6142 	 110.06 	 978000.18
9875 	 -44.6014 	 -5.3216 	 111.3 	 978008.68
9876 	 -44.6304 	 -5.3197 	 98.87 	 978010.5
9877 	 -44.6479 	 -5.3283 	 94.2 	 978011.62
9878 	 -44.6738 	 -5.3371 	 115.29 	 978007.74
9879 	 -45.456 	 -5.4543 	 162.13 	 977994.24
9880 	 -45.48 	 -5.4634 	 138.07 	 977998.39
9881 	 -45.8226 	 -5.6493 	 188.71 	 977975.07
9882 	 -45.8728 	 -5.6734 	 195.38 	 977973.19
9883 	 -46.0917 	 -5.7837 	 207.89 	 977967.83
9884 	 -46.1965 	 -5.8331 	 219.47 	 977966.86
9885 	 -46.2227 	 -5.8446 	 216.57 	 977968.49
9886 	 -46.2424 	 -5.8649 	 223.84 	 977970.08
9887 	 -46.2636 	 -5.8828 	 221.36 	 977971.52
9888 	 -46.3127 	 -5.9073 	 938.2 	 977959.5
9889 	 -46.3376 	 -5.9197 	 295.67 	 977951.32
9890 	 -46.3619 	 -5.9317 	 273.11 	 977956.04
9891 	 -46.3862 	 -5.9445 	 256.34 	 977959.13
9892 	 -46.404 	 -5.9574 	 285.63 	 977952.2
9893 	 -46.4449 	 -5.9819 	 306.95 	 977948.44
