        generated_by     ICGEM (hosted at GFZ-Potsdam)
     generating_date     2019/08/30
----------------------------------------------------------------------
           modelname     EIGEN-6C4
     max_used_degree          2190
----------------------------------------------------------------------
         tide_system     tide_free
    zero_degree_term     included
----------------------------------------------------------------------
          refsysname     WGS84
   max_degree_refpot             8
            gmrefpot      3.98600441800E+14[m**3/s**2]
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
----------------------------------------------------------------------
    number_of_points           607
      latlimit_north      -1.2011000000000    
      latlimit_south      -6.5519000000000    
      longlimit_west      -47.960600000000    
      longlimit_east      -41.900100000000    
----------------------------------------------------------------------
description of columns -----------------------------------------------
 1 identifier (from input)
 2 longitude  (from input)    [degree]
 3 latitude   (from input)    [degree]
 4 h_over_ell (from input)     [meter]
 -------------------------------------
80           -46.01750000   -1.45780000  8.860000E+00  9.780296254988E+05
81           -46.03500000   -1.39080000 -5.080000E+00  9.780373455314E+05
82           -46.03670000   -1.32280000  4.630000E+00  9.780393226491E+05
83           -46.02030000   -1.20140000 -1.319000E+01  9.780531764706E+05
84           -45.70440000   -2.80220000  2.120000E+00  9.779996349609E+05
85           -45.72500000   -2.72530000  1.872000E+01  9.779922318144E+05
86           -45.77060000   -2.56110000  2.736000E+01  9.779819953862E+05
87           -45.83190000   -2.32920000  1.343000E+01  9.779756137069E+05
88           -45.91220000   -2.10060000  1.327000E+01  9.779834757259E+05
89           -45.99670000   -1.98580000  2.476000E+01  9.779970181138E+05
90           -45.69190000   -2.85140000 -3.830000E+00  9.780031711432E+05
91           -45.67000000   -2.93110000 -2.600000E-01  9.780027323300E+05
92           -45.64670000   -3.01810000  1.032000E+01  9.780002592709E+05
93           -45.64420000   -3.14530000  1.920000E+01  9.779953510898E+05
94           -45.65560000   -3.27690000  1.044000E+01  9.779900575675E+05
95           -45.66220000   -3.35440000  1.554000E+01  9.779857446319E+05
96           -45.66720000   -3.49220000  2.279000E+01  9.779772989363E+05
97           -45.50390000   -3.62970000 -1.210000E+00  9.779800088121E+05
98           -45.46560000   -3.65940000 -1.155000E+01  9.779845199866E+05
99           -45.37640000   -3.65580000 -3.670000E+00  9.779839749477E+05
100          -45.32470000   -3.69440000 -1.115000E+01  9.779914097449E+05
101          -45.18560000   -3.63940000 -2.720000E+00  9.779949887703E+05
102          -45.12140000   -3.60440000 -5.670000E+00  9.779963725154E+05
103          -44.90610000   -3.54720000 -3.540000E+00  9.779888561868E+05
104          -44.80250000   -3.45560000 -1.779000E+01  9.779924177755E+05
105          -44.75970000   -3.50640000 -1.133000E+01  9.779842503420E+05
106          -46.24610000   -1.78080000 -9.700000E+00  9.780323457282E+05
107          -46.18170000   -1.80640000 -5.210000E+00  9.780293620034E+05
108          -45.34940000   -2.97280000 -4.120000E+00  9.779915002292E+05
109          -45.28640000   -2.77470000 -8.780000E+00  9.779792078540E+05
110          -44.19610000   -2.47640000  2.009000E+01  9.779751644120E+05
111          -43.93530000   -4.27530000  2.088000E+01  9.780087642120E+05
112          -43.93580000   -4.25170000  2.089000E+01  9.780095149733E+05
113          -43.91890000   -4.23140000  1.719000E+01  9.780130137758E+05
114          -44.65220000   -3.58110000 -9.730000E+00  9.779814362012E+05
115          -44.86140000   -3.40470000 -1.756000E+01  9.780021568943E+05
116          -44.86830000   -3.33860000 -1.776000E+01  9.780088778356E+05
117          -44.90170000   -3.27610000 -1.861000E+01  9.780123806311E+05
118          -44.94280000   -3.22280000 -1.790000E+01  9.780113227326E+05
119          -45.00560000   -3.20170000 -1.670000E+01  9.780083204042E+05
120          -45.08080000   -3.10500000 -1.754000E+01  9.780025615194E+05
121          -45.02970000   -3.07560000 -1.620000E+00  9.779989046905E+05
122          -45.02670000   -3.01030000 -1.029000E+01  9.780021093434E+05
123          -46.11030000   -1.81970000  1.849000E+01  9.780184600383E+05
124          -46.06560000   -1.77360000  3.996000E+01  9.780115188106E+05
125          -44.35780000   -3.39280000 -4.860000E+00  9.779938912880E+05
126          -44.36580000   -3.38580000 -9.410000E+00  9.779948449552E+05
127          -44.39530000   -3.36560000 -8.600000E-01  9.779909095822E+05
128          -44.41280000   -3.35190000 -9.000000E-02  9.779901622114E+05
129          -44.42830000   -3.34140000  4.800000E+00  9.779878438309E+05
130          -44.48810000   -3.37940000  3.271000E+01  9.779690899853E+05
131          -44.49440000   -3.38780000  2.605000E+01  9.779699881514E+05
132          -44.08470000   -4.08190000  5.865000E+01  9.780027835996E+05
133          -44.34390000   -4.57030000  5.602000E+01  9.780038160051E+05
134          -44.34530000   -4.58360000  6.072000E+01  9.780034436999E+05
135          -44.34280000   -4.61030000  6.048000E+01  9.780059690374E+05
136          -43.08610000   -4.97940000  1.421600E+02  9.779954436953E+05
137          -44.12940000   -4.12610000  7.740000E+00  9.780156697212E+05
138          -43.87470000   -4.63030000  7.559000E+01  9.780009065273E+05
139          -44.78560000   -2.44940000 -9.210000E+00  9.779627639391E+05
140          -44.18000000   -3.48940000  2.912000E+01  9.780080770772E+05
141          -43.02890000   -4.27060000  3.718000E+01  9.780171460848E+05
142          -45.07240000   -2.51560000 -1.272000E+01  9.779524615131E+05
143          -44.93920000   -2.57940000 -9.340000E+00  9.779553303746E+05
144          -44.92560000   -2.55690000 -2.010000E+00  9.779519902306E+05
145          -43.36280000   -4.86330000  4.283000E+01  9.780191389663E+05
146          -43.39280000   -4.74530000  6.085000E+01  9.780074566753E+05
147          -44.27470000   -2.49890000 -9.360000E+00  9.779784486302E+05
148          -44.74110000   -2.70560000 -2.150000E+01  9.779995825216E+05
149          -44.73580000   -2.72780000 -1.784000E+01  9.780020527419E+05
150          -44.73030000   -2.74690000 -1.903000E+01  9.780052172347E+05
151          -44.72720000   -2.76690000 -1.680000E+01  9.780069612707E+05
152          -44.73330000   -2.78530000 -9.950000E+00  9.780058370063E+05
153          -44.73360000   -2.80420000 -6.750000E+00  9.780064340339E+05
154          -44.72940000   -2.82420000 -1.334000E+01  9.780105777865E+05
155          -42.70360000   -3.68780000  7.229000E+01  9.780016219008E+05
156          -42.72170000   -3.69500000  6.392000E+01  9.780050545238E+05
157          -44.44560000   -4.22310000  2.802000E+01  9.780112600082E+05
158          -44.57690000   -3.54560000  2.097000E+01  9.779718731911E+05
159          -44.56830000   -3.54060000  1.382000E+01  9.779739093930E+05
160          -44.55530000   -3.52360000  2.473000E+01  9.779695430488E+05
161          -44.53470000   -3.47780000  2.665000E+01  9.779666106837E+05
162          -44.53030000   -3.46220000  1.949000E+01  9.779683003894E+05
163          -44.52330000   -3.44190000  1.110000E+00  9.779738463923E+05
164          -44.51440000   -3.42140000  2.368000E+01  9.779676392994E+05
165          -44.50720000   -3.40140000  1.949000E+01  9.779701404351E+05
166          -44.51280000   -3.38470000  2.875000E+01  9.779676882630E+05
167          -44.52280000   -3.37970000  1.170000E+01  9.779724346357E+05
168          -44.53220000   -3.37500000 -2.080000E+00  9.779763335564E+05
169          -44.54360000   -3.36690000 -3.900000E+00  9.779768964535E+05
170          -44.55250000   -3.34860000 -7.020000E+00  9.779792153760E+05
171          -44.56690000   -3.33940000 -9.110000E+00  9.779807326986E+05
172          -44.58280000   -3.32390000 -1.252000E+01  9.779839824948E+05
173          -44.59170000   -3.30720000 -9.450000E+00  9.779855980513E+05
174          -44.58610000   -3.27420000 -1.146000E+01  9.779905314454E+05
175          -44.58780000   -3.26470000 -4.010000E+00  9.779896864502E+05
176          -44.60750000   -3.26000000 -1.560000E+01  9.779946370311E+05
177          -44.61780000   -3.26360000 -1.658000E+01  9.779948959545E+05
178          -44.61780000   -3.26530000 -1.776000E+01  9.779950410348E+05
179          -44.62000000   -3.26420000 -1.767000E+01  9.779952536718E+05
180          -44.96030000   -3.57580000  1.733000E+01  9.779839298963E+05
181          -44.81830000   -2.88110000 -8.250000E+00  9.780065329060E+05
182          -44.82970000   -2.88640000 -6.310000E+00  9.780055745168E+05
183          -44.85030000   -2.86940000 -1.506000E+01  9.780067010022E+05
184          -43.49860000   -4.94720000  8.583000E+01  9.780103565521E+05
185          -43.52310000   -4.94920000  7.857000E+01  9.780124474357E+05
186          -43.60330000   -4.97390000  1.174700E+02  9.780019292633E+05
187          -43.69810000   -5.03640000  9.582000E+01  9.780102733261E+05
188          -43.04720000   -4.87170000  5.154000E+01  9.780218465609E+05
189          -43.03190000   -4.85810000  5.751000E+01  9.780206828096E+05
190          -44.07560000   -3.46190000  1.803000E+01  9.780226857179E+05
191          -44.36640000   -4.48190000  4.986000E+01  9.780008652331E+05
192          -44.87920000   -2.89030000 -1.571000E+01  9.780050488811E+05
193          -44.86780000   -2.91360000 -6.470000E+00  9.780030044169E+05
194          -44.85310000   -2.92440000 -3.010000E+00  9.780028096019E+05
195          -44.83860000   -2.93530000  1.600000E+00  9.780020264774E+05
196          -44.82030000   -2.94860000 -4.140000E+00  9.780042378169E+05
197          -44.80280000   -2.95580000 -1.100000E+01  9.780065730889E+05
198          -44.85060000   -2.94810000 -3.780000E+00  9.780025531543E+05
199          -44.67530000   -2.87220000 -1.119000E+01  9.780244495698E+05
200          -44.68580000   -2.86780000 -1.145000E+01  9.780218112946E+05
201          -44.69720000   -2.85830000 -1.227000E+01  9.780189208953E+05
202          -44.70610000   -2.85220000 -7.290000E+00  9.780149601324E+05
203          -44.72000000   -2.85060000 -6.680000E+00  9.780116420433E+05
204          -44.73140000   -2.85360000 -2.980000E+00  9.780085522607E+05
205          -44.74860000   -2.85640000 -5.020000E+00  9.780070822667E+05
206          -44.75780000   -2.85890000 -1.530000E+00  9.780053403878E+05
207          -44.79690000   -2.87360000 -1.447000E+01  9.780086771788E+05
208          -43.18920000   -4.18690000  5.389000E+01  9.780181300816E+05
209          -43.20560000   -4.17780000  5.265000E+01  9.780180950455E+05
210          -43.22780000   -4.17110000  3.868000E+01  9.780221204699E+05
211          -43.23220000   -4.15640000  3.721000E+01  9.780231352093E+05
212          -43.23220000   -4.15640000  8.838000E+01  9.780073626151E+05
213          -43.26560000   -4.14310000  4.310000E+01  9.780222778879E+05
214          -43.29190000   -4.13030000  8.779000E+01  9.780097081367E+05
215          -43.31310000   -4.12690000  7.366000E+01  9.780146678110E+05
216          -43.32830000   -4.13080000  4.596000E+01  9.780232773028E+05
217          -43.02780000   -4.35610000  2.630000E+01  9.780173526547E+05
218          -42.99970000   -4.18280000  3.667000E+01  9.780226489030E+05
219          -42.99250000   -4.16610000  2.738000E+01  9.780267849777E+05
220          -42.99280000   -4.15690000  2.429000E+01  9.780286696751E+05
221          -42.97060000   -4.15170000  2.704000E+01  9.780266012356E+05
222          -42.95280000   -4.13610000  3.607000E+01  9.780232361402E+05
223          -42.95810000   -4.11470000  2.188000E+01  9.780290651483E+05
224          -42.95780000   -4.07330000  2.578000E+01  9.780288127330E+05
225          -42.95890000   -4.05360000  3.206000E+01  9.780275174725E+05
226          -42.95280000   -4.03780000  2.293000E+01  9.780298658286E+05
227          -42.94220000   -3.99610000  3.196000E+01  9.780272547897E+05
228          -42.92940000   -3.96190000  3.642000E+01  9.780254651043E+05
229          -42.94000000   -3.93030000  8.977000E+01  9.780114122876E+05
230          -42.94420000   -3.89030000  9.146000E+01  9.780112503838E+05
231          -42.94560000   -3.86780000  8.745000E+01  9.780122468749E+05
232          -42.94830000   -3.84560000  8.554000E+01  9.780126655985E+05
233          -42.95080000   -3.82220000  8.589000E+01  9.780123680541E+05
234          -42.95360000   -3.80110000  8.683000E+01  9.780119603623E+05
235          -42.96330000   -3.78140000  8.814000E+01  9.780117267422E+05
236          -42.98470000   -3.74280000  8.211000E+01  9.780142850097E+05
237          -42.99060000   -3.72140000  8.257000E+01  9.780146190330E+05
238          -42.99720000   -3.69970000  7.950000E+01  9.780163216239E+05
239          -44.98890000   -2.96670000 -1.333000E+01  9.780036456902E+05
240          -44.93890000   -2.92610000 -4.590000E+00  9.780001741439E+05
241          -44.88220000   -2.89810000 -1.401000E+01  9.780043700022E+05
242          -44.87280000   -2.94640000  6.480000E+00  9.779978737250E+05
243          -44.94110000   -2.85780000  1.900000E-01  9.779967840998E+05
244          -44.94190000   -2.81580000 -1.430000E+01  9.779968058841E+05
245          -44.87280000   -2.94580000  4.380000E+00  9.779985392404E+05
246          -44.89110000   -2.90440000  3.570000E+00  9.779983829970E+05
247          -44.92890000   -2.92500000 -6.000000E-01  9.779987269167E+05
248          -44.94830000   -2.93220000 -7.370000E+00  9.780012540834E+05
249          -44.98890000   -2.96720000 -1.438000E+01  9.780039523364E+05
250          -44.99060000   -2.99060000 -4.930000E+00  9.780003337265E+05
251          -45.01170000   -3.00920000 -9.870000E+00  9.780018398161E+05
252          -45.03170000   -3.01470000 -8.890000E+00  9.780016419361E+05
253          -45.03060000   -3.06440000 -2.970000E+00  9.779993228684E+05
254          -44.84970000   -4.66060000  3.241000E+01  9.779994864321E+05
255          -44.92810000   -4.66780000  1.998000E+01  9.780068278615E+05
256          -45.37670000   -3.65610000 -3.310000E+00  9.779838752448E+05
257          -43.09670000   -4.20360000  7.192000E+01  9.780156099163E+05
258          -43.11190000   -4.19580000  7.031000E+01  9.780168108297E+05
259          -43.12890000   -4.19420000  5.449000E+01  9.780213887767E+05
260          -44.95030000   -4.64500000  4.097000E+01  9.780008948966E+05
261          -44.85330000   -3.45190000 -1.816000E+01  9.779964033552E+05
262          -44.76030000   -4.62530000  2.740000E+01  9.780048343662E+05
263          -44.90280000   -3.26580000 -2.039000E+01  9.780129495238E+05
264          -44.95530000   -3.21670000 -2.062000E+01  9.780118005690E+05
265          -44.97140000   -3.20610000 -1.355000E+01  9.780088763730E+05
266          -44.99890000   -3.21060000 -1.307000E+01  9.780078318188E+05
267          -43.42940000   -4.90220000  9.117000E+01  9.780073482962E+05
268          -43.45330000   -4.92440000  9.912000E+01  9.780056319017E+05
269          -45.23500000   -4.27060000  3.550000E+01  9.780032203710E+05
270          -45.00030000   -3.21970000 -1.236000E+01  9.780077825875E+05
271          -45.05170000   -3.17310000 -9.910000E+00  9.780024331910E+05
272          -45.06060000   -3.15970000 -6.540000E+00  9.780004644211E+05
273          -45.06420000   -3.15530000 -1.608000E+01  9.780030927745E+05
274          -45.05360000   -3.09330000 -7.810000E+00  9.780003920374E+05
275          -44.86440000   -2.59390000 -1.740000E+01  9.779654605652E+05
276          -44.87110000   -2.62170000 -1.272000E+01  9.779669389680E+05
277          -44.87830000   -2.63940000 -1.805000E+01  9.779708592943E+05
278          -44.91640000   -2.66310000 -3.630000E+00  9.779685466355E+05
279          -44.88860000   -2.70390000 -1.664000E+01  9.779826710221E+05
280          -44.85640000   -2.69830000 -2.002000E+01  9.779855243185E+05
281          -44.82280000   -2.70280000 -1.671000E+01  9.779891862286E+05
282          -44.78280000   -2.69920000 -2.188000E+01  9.779943875871E+05
283          -44.92830000   -2.69970000 -2.236000E+01  9.779814369232E+05
284          -44.61720000   -2.48440000 -3.400000E+00  9.779778825974E+05
285          -44.51690000   -2.34560000  8.500000E+00  9.779735565956E+05
286          -44.40640000   -2.37860000  2.375000E+01  9.779732960712E+05
287          -44.41560000   -2.40690000  7.520000E+00  9.779761126186E+05
288          -44.41690000   -2.40860000  1.117000E+01  9.779748155340E+05
289          -44.40920000   -2.40030000  7.720000E+00  9.779768403771E+05
290          -44.87190000   -3.46030000 -1.765000E+01  9.779968113887E+05
291          -44.87470000   -3.45780000 -1.587000E+01  9.779967094010E+05
292          -44.23970000   -2.59890000  3.419000E+01  9.779708420835E+05
293          -45.23940000   -4.28440000  3.831000E+01  9.780022286091E+05
294          -45.24940000   -4.28890000  4.628000E+01  9.779994464330E+05
295          -44.85780000   -3.35470000 -1.929000E+01  9.780075723258E+05
296          -44.87690000   -3.32330000 -2.044000E+01  9.780109929760E+05
297          -45.22720000   -4.25140000  3.248000E+01  9.780043734313E+05
298          -44.92110000   -2.67890000 -5.650000E+00  9.779722715151E+05
299          -44.58530000   -5.05170000  4.624000E+01  9.780138013847E+05
300          -44.63780000   -5.07970000  6.140000E+01  9.780109616769E+05
301          -44.37830000   -3.37720000  5.100000E-01  9.779911487643E+05
302          -43.42720000   -3.74030000  2.622000E+01  9.780432987648E+05
303          -43.05830000   -4.25030000  4.535000E+01  9.780177709489E+05
304          -43.17140000   -4.19360000  5.400000E+01  9.780189278215E+05
305          -43.27030000   -4.12780000  4.102000E+01  9.780236876910E+05
306          -45.74750000   -2.64360000  2.517000E+01  9.779884004360E+05
307          -45.87560000   -2.17060000  3.310000E+01  9.779727760860E+05
308          -46.04470000   -1.91690000  2.421000E+01  9.780086282270E+05
309          -45.64780000   -3.19310000  1.197000E+01  9.779949444942E+05
310          -45.56390000   -3.57860000  9.020000E+00  9.779770288637E+05
311          -45.25810000   -3.67890000 -3.720000E+00  9.779928019945E+05
312          -44.71030000   -3.56020000 -1.146000E+01  9.779810142086E+05
313          -46.68860000   -4.38610000  1.283100E+02  9.779708800989E+05
314          -46.94940000   -4.62060000  8.173000E+01  9.779869029039E+05
315          -47.18250000   -4.78080000  2.319000E+02  9.779589120833E+05
316          -47.45610000   -4.93560000  2.221500E+02  9.779823834404E+05
317          -46.10920000   -4.80890000  2.858400E+02  9.779432173313E+05
318          -44.87720000   -3.85920000 -1.026000E+01  9.779982131875E+05
319          -44.37060000   -4.43560000  7.543000E+01  9.779919355265E+05
320          -43.73140000   -4.72390000  1.454900E+02  9.779954276838E+05
